geracao;media da geracao;fitness do melhor da geracao;fitness do pior da geracao;relacao entre melhor e pior;fitness do melhor da run
Probabilidade Recombinação: 0.7
Probabilidade Mutação: 0.049999999999999996
Tipo de Selecção: Torneio
Tipo de Mutação: Simples
Tamanho População: 300
Máximo de Gerações: 15000
0;84.60333333333334;69.0;101.0;-32.0;69.0
0;76.37666666666667;63.0;90.0;-27.0;63.0
9;48.71666666666667;39.0;59.0;-20.0;39.0
19;38.56666666666667;29.0;51.0;-22.0;29.0
29;35.123333333333335;25.0;49.0;-24.0;25.0
39;32.29;21.0;45.0;-24.0;21.0
49;31.583333333333332;21.0;49.0;-28.0;20.0
59;29.903333333333332;19.0;44.0;-25.0;19.0
69;29.073333333333334;19.0;40.0;-21.0;18.0
79;30.293333333333333;20.0;48.0;-28.0;18.0
89;28.926666666666666;17.0;46.0;-29.0;17.0
99;28.64;17.0;41.0;-24.0;17.0
109;27.826666666666668;19.0;40.0;-21.0;16.0
119;26.2;16.0;40.0;-24.0;14.0
129;26.833333333333332;16.0;41.0;-25.0;14.0
139;28.33;16.0;42.0;-26.0;14.0
149;27.273333333333333;16.0;47.0;-31.0;14.0
159;28.216666666666665;17.0;42.0;-25.0;14.0
169;26.753333333333334;15.0;41.0;-26.0;14.0
179;26.713333333333335;17.0;40.0;-23.0;14.0
189;26.816666666666666;16.0;42.0;-26.0;14.0
199;27.21;16.0;46.0;-30.0;14.0
209;25.73;13.0;42.0;-29.0;13.0
219;26.326666666666668;18.0;43.0;-25.0;12.0
229;28.373333333333335;19.0;39.0;-20.0;12.0
239;28.816666666666666;18.0;45.0;-27.0;12.0
249;27.593333333333334;16.0;47.0;-31.0;12.0
259;28.64666666666667;19.0;41.0;-22.0;12.0
269;30.313333333333333;20.0;48.0;-28.0;12.0
279;29.2;21.0;44.0;-23.0;12.0
289;32.473333333333336;21.0;48.0;-27.0;12.0
299;29.0;18.0;44.0;-26.0;12.0
309;28.89666666666667;19.0;44.0;-25.0;12.0
319;29.08;18.0;49.0;-31.0;12.0
329;28.45;18.0;43.0;-25.0;12.0
339;28.66;18.0;46.0;-28.0;12.0
349;28.823333333333334;18.0;45.0;-27.0;12.0
359;28.366666666666667;17.0;44.0;-27.0;12.0
369;27.623333333333335;18.0;43.0;-25.0;12.0
379;27.24;15.0;42.0;-27.0;12.0
389;27.036666666666665;17.0;41.0;-24.0;12.0
399;26.69333333333333;16.0;42.0;-26.0;12.0
409;26.873333333333335;17.0;40.0;-23.0;12.0
419;28.713333333333335;19.0;44.0;-25.0;12.0
429;27.506666666666668;17.0;42.0;-25.0;12.0
439;26.066666666666666;15.0;40.0;-25.0;12.0
449;26.593333333333334;15.0;45.0;-30.0;12.0
459;28.083333333333332;18.0;42.0;-24.0;12.0
469;26.3;16.0;48.0;-32.0;12.0
479;26.48;14.0;42.0;-28.0;12.0
489;26.483333333333334;15.0;41.0;-26.0;12.0
499;24.503333333333334;11.0;47.0;-36.0;11.0
509;22.276666666666667;10.0;42.0;-32.0;10.0
519;22.226666666666667;8.0;45.0;-37.0;8.0
529;22.5;12.0;42.0;-30.0;8.0
539;22.31;10.0;40.0;-30.0;8.0
549;25.08;16.0;40.0;-24.0;8.0
559;23.506666666666668;12.0;38.0;-26.0;8.0
569;22.256666666666668;11.0;39.0;-28.0;8.0
579;21.843333333333334;11.0;45.0;-34.0;8.0
589;21.98;11.0;34.0;-23.0;8.0
599;22.526666666666667;12.0;38.0;-26.0;8.0
609;23.58;12.0;38.0;-26.0;8.0
619;23.72;13.0;38.0;-25.0;8.0
629;24.666666666666668;15.0;42.0;-27.0;8.0
639;23.963333333333335;12.0;37.0;-25.0;8.0
649;23.856666666666666;12.0;46.0;-34.0;8.0
659;22.97;12.0;38.0;-26.0;8.0
669;23.506666666666668;12.0;37.0;-25.0;8.0
679;25.633333333333333;15.0;43.0;-28.0;8.0
689;25.476666666666667;14.0;46.0;-32.0;8.0
699;26.266666666666666;15.0;43.0;-28.0;8.0
709;27.533333333333335;15.0;46.0;-31.0;8.0
719;26.143333333333334;14.0;41.0;-27.0;8.0
729;25.836666666666666;16.0;38.0;-22.0;8.0
739;26.81;15.0;40.0;-25.0;8.0
749;22.22;9.0;39.0;-30.0;8.0
759;20.53;10.0;35.0;-25.0;7.0
769;20.153333333333332;7.0;37.0;-30.0;7.0
779;20.85333333333333;9.0;37.0;-28.0;6.0
789;23.48;11.0;41.0;-30.0;6.0
799;23.463333333333335;11.0;41.0;-30.0;6.0
809;24.856666666666666;12.0;46.0;-34.0;6.0
819;23.566666666666666;11.0;39.0;-28.0;6.0
829;21.663333333333334;8.0;41.0;-33.0;6.0
839;21.643333333333334;12.0;36.0;-24.0;6.0
849;22.183333333333334;12.0;40.0;-28.0;6.0
859;22.65;11.0;37.0;-26.0;6.0
869;23.286666666666665;12.0;37.0;-25.0;6.0
879;23.48;11.0;43.0;-32.0;6.0
889;22.343333333333334;11.0;37.0;-26.0;6.0
899;22.843333333333334;13.0;34.0;-21.0;6.0
