geracao;media da geracao;fitness do melhor da geracao;fitness do pior da geracao;relacao entre melhor e pior;fitness do melhor da run
Probabilidade Recombinação: 0.7
Probabilidade Mutação: 0.049999999999999996
Tipo de Selecção: Torneio
Tipo de Mutação: Simples
Tamanho População: 300
Máximo de Gerações: 15000
0;76.64;63.0;96.0;-33.0;63.0
0;68.36333333333333;58.0;79.0;-21.0;58.0
9;44.13;38.0;52.0;-14.0;38.0
19;35.553333333333335;29.0;47.0;-18.0;29.0
29;30.046666666666667;24.0;41.0;-17.0;24.0
39;28.803333333333335;23.0;38.0;-15.0;23.0
49;24.906666666666666;19.0;42.0;-23.0;19.0
59;23.023333333333333;18.0;36.0;-18.0;18.0
69;23.043333333333333;18.0;36.0;-18.0;18.0
79;23.223333333333333;18.0;33.0;-15.0;18.0
89;23.55;18.0;40.0;-22.0;18.0
99;23.303333333333335;18.0;33.0;-15.0;18.0
109;23.28;18.0;34.0;-16.0;18.0
119;23.55;18.0;33.0;-15.0;18.0
129;23.113333333333333;18.0;36.0;-18.0;18.0
139;23.323333333333334;18.0;33.0;-15.0;18.0
149;23.37;18.0;35.0;-17.0;18.0
159;23.653333333333332;18.0;34.0;-16.0;18.0
169;23.48;18.0;34.0;-16.0;18.0
179;23.343333333333334;18.0;40.0;-22.0;18.0
189;22.783333333333335;17.0;33.0;-16.0;17.0
199;22.49;17.0;33.0;-16.0;17.0
209;22.373333333333335;17.0;33.0;-16.0;17.0
219;22.076666666666668;17.0;35.0;-18.0;17.0
229;22.256666666666668;17.0;33.0;-16.0;17.0
239;22.293333333333333;17.0;33.0;-16.0;17.0
249;22.41;17.0;33.0;-16.0;17.0
259;22.453333333333333;16.0;35.0;-19.0;16.0
269;21.846666666666668;16.0;33.0;-17.0;16.0
279;21.386666666666667;16.0;34.0;-18.0;16.0
289;21.53;16.0;33.0;-17.0;16.0
299;20.823333333333334;15.0;31.0;-16.0;15.0
309;20.626666666666665;15.0;38.0;-23.0;14.0
319;20.17;15.0;34.0;-19.0;14.0
329;20.58;15.0;33.0;-18.0;14.0
339;20.826666666666668;15.0;34.0;-19.0;14.0
349;20.596666666666668;15.0;31.0;-16.0;14.0
359;20.613333333333333;15.0;33.0;-18.0;14.0
369;20.41;15.0;32.0;-17.0;14.0
379;20.31;14.0;31.0;-17.0;14.0
389;19.64;14.0;33.0;-19.0;14.0
399;19.52;14.0;31.0;-17.0;14.0
409;19.866666666666667;14.0;32.0;-18.0;14.0
419;19.95;14.0;33.0;-19.0;14.0
429;20.06;14.0;36.0;-22.0;14.0
439;19.973333333333333;14.0;31.0;-17.0;14.0
449;19.936666666666667;14.0;34.0;-20.0;14.0
459;19.51;14.0;33.0;-19.0;14.0
469;19.623333333333335;14.0;35.0;-21.0;14.0
479;19.4;14.0;30.0;-16.0;14.0
489;19.436666666666667;14.0;31.0;-17.0;14.0
499;19.663333333333334;14.0;35.0;-21.0;14.0
509;19.706666666666667;14.0;30.0;-16.0;14.0
519;19.906666666666666;14.0;33.0;-19.0;14.0
529;19.626666666666665;14.0;36.0;-22.0;14.0
539;19.883333333333333;14.0;38.0;-24.0;14.0
549;19.533333333333335;14.0;32.0;-18.0;14.0
559;19.76;14.0;34.0;-20.0;14.0
569;19.89666666666667;14.0;30.0;-16.0;14.0
579;19.776666666666667;14.0;35.0;-21.0;14.0
589;19.723333333333333;14.0;34.0;-20.0;14.0
599;19.533333333333335;14.0;30.0;-16.0;14.0
609;19.676666666666666;14.0;33.0;-19.0;14.0
619;19.926666666666666;14.0;31.0;-17.0;14.0
629;19.763333333333332;14.0;34.0;-20.0;14.0
639;19.926666666666666;14.0;36.0;-22.0;14.0
649;19.256666666666668;14.0;29.0;-15.0;14.0
659;20.106666666666666;14.0;34.0;-20.0;14.0
669;19.49;14.0;33.0;-19.0;14.0
679;19.623333333333335;14.0;33.0;-19.0;14.0
689;19.846666666666668;14.0;31.0;-17.0;14.0
699;19.42;14.0;30.0;-16.0;14.0
709;19.426666666666666;14.0;37.0;-23.0;14.0
719;19.216666666666665;14.0;32.0;-18.0;14.0
729;19.73;14.0;34.0;-20.0;14.0
739;19.773333333333333;14.0;36.0;-22.0;14.0
749;19.833333333333332;14.0;31.0;-17.0;14.0
759;19.826666666666668;14.0;34.0;-20.0;14.0
769;19.546666666666667;14.0;33.0;-19.0;14.0
779;19.926666666666666;14.0;33.0;-19.0;14.0
789;19.523333333333333;14.0;30.0;-16.0;14.0
799;19.866666666666667;14.0;34.0;-20.0;14.0
809;20.003333333333334;14.0;34.0;-20.0;14.0
819;19.69333333333333;14.0;33.0;-19.0;14.0
829;19.833333333333332;14.0;32.0;-18.0;14.0
839;19.533333333333335;14.0;33.0;-19.0;14.0
849;19.41;14.0;32.0;-18.0;14.0
859;19.963333333333335;14.0;33.0;-19.0;14.0
869;19.973333333333333;14.0;34.0;-20.0;14.0
879;19.643333333333334;14.0;31.0;-17.0;14.0
889;19.576666666666668;14.0;29.0;-15.0;14.0
899;19.14666666666667;14.0;31.0;-17.0;14.0
