geracao;media da geracao;fitness do melhor da geracao;fitness do pior da geracao;relacao entre melhor e pior;fitness do melhor da run
Probabilidade Recombinação: 0.7
Probabilidade Mutação: 0.05
Tipo de Selecção: Torneio
Tipo de Mutação: Simples Al.
Tamanho População: 300
Máximo de Gerações: 15000
0;84.60333333333334;69.0;101.0;-32.0;69.0
0;75.47;66.0;86.0;-20.0;66.0
9;58.83;58.0;61.0;-3.0;58.0
19;47.38333333333333;45.0;51.0;-6.0;45.0
29;43.04;40.0;46.0;-6.0;40.0
39;34.47666666666667;32.0;38.0;-6.0;32.0
49;28.153333333333332;28.0;31.0;-3.0;28.0
59;25.966666666666665;25.0;29.0;-4.0;25.0
69;24.13;24.0;27.0;-3.0;24.0
79;22.093333333333334;22.0;25.0;-3.0;22.0
89;19.11;19.0;22.0;-3.0;19.0
99;18.09;17.0;21.0;-4.0;17.0
109;17.076666666666668;17.0;20.0;-3.0;17.0
119;17.143333333333334;17.0;20.0;-3.0;17.0
129;17.176666666666666;17.0;20.0;-3.0;17.0
139;17.133333333333333;17.0;20.0;-3.0;17.0
149;17.04;17.0;20.0;-3.0;17.0
159;17.133333333333333;17.0;20.0;-3.0;17.0
169;17.076666666666668;17.0;20.0;-3.0;17.0
179;16.133333333333333;16.0;19.0;-3.0;16.0
189;16.096666666666668;15.0;19.0;-4.0;15.0
199;14.653333333333334;14.0;18.0;-4.0;14.0
209;14.16;14.0;17.0;-3.0;14.0
219;14.11;14.0;17.0;-3.0;14.0
229;14.063333333333333;14.0;17.0;-3.0;14.0
239;14.106666666666667;14.0;17.0;-3.0;14.0
249;14.076666666666666;14.0;17.0;-3.0;14.0
259;13.196666666666667;13.0;16.0;-3.0;13.0
269;13.1;13.0;16.0;-3.0;13.0
279;13.123333333333333;13.0;16.0;-3.0;13.0
289;13.123333333333333;13.0;16.0;-3.0;13.0
299;13.083333333333334;13.0;16.0;-3.0;13.0
309;13.103333333333333;13.0;16.0;-3.0;13.0
319;13.113333333333333;13.0;16.0;-3.0;13.0
329;13.113333333333333;13.0;16.0;-3.0;13.0
339;13.126666666666667;13.0;16.0;-3.0;13.0
349;13.13;13.0;16.0;-3.0;13.0
359;13.133333333333333;13.0;16.0;-3.0;13.0
369;13.096666666666666;13.0;16.0;-3.0;13.0
379;13.07;13.0;16.0;-3.0;13.0
389;13.096666666666666;13.0;16.0;-3.0;13.0
399;13.11;13.0;16.0;-3.0;13.0
409;13.073333333333334;13.0;16.0;-3.0;13.0
419;13.09;13.0;16.0;-3.0;13.0
429;13.093333333333334;13.0;16.0;-3.0;13.0
439;13.156666666666666;13.0;16.0;-3.0;13.0
449;13.15;13.0;16.0;-3.0;13.0
459;13.063333333333333;13.0;16.0;-3.0;13.0
469;13.123333333333333;13.0;16.0;-3.0;13.0
479;13.133333333333333;13.0;16.0;-3.0;13.0
489;13.22;13.0;16.0;-3.0;13.0
499;13.13;13.0;16.0;-3.0;13.0
509;13.146666666666667;13.0;16.0;-3.0;13.0
519;13.14;13.0;16.0;-3.0;13.0
529;13.106666666666667;13.0;16.0;-3.0;13.0
539;13.093333333333334;13.0;16.0;-3.0;13.0
549;13.12;13.0;16.0;-3.0;13.0
559;13.156666666666666;13.0;16.0;-3.0;13.0
569;13.12;13.0;16.0;-3.0;13.0
579;13.063333333333333;13.0;16.0;-3.0;13.0
589;13.076666666666666;13.0;16.0;-3.0;13.0
599;13.08;13.0;16.0;-3.0;13.0
609;13.12;13.0;16.0;-3.0;13.0
619;13.126666666666667;13.0;16.0;-3.0;13.0
629;13.11;13.0;16.0;-3.0;13.0
639;13.093333333333334;13.0;16.0;-3.0;13.0
649;13.12;13.0;16.0;-3.0;13.0
659;13.116666666666667;13.0;16.0;-3.0;13.0
669;13.066666666666666;13.0;16.0;-3.0;13.0
679;13.133333333333333;13.0;16.0;-3.0;13.0
689;13.146666666666667;13.0;16.0;-3.0;13.0
699;13.14;13.0;16.0;-3.0;13.0
709;13.066666666666666;13.0;16.0;-3.0;13.0
719;13.11;13.0;16.0;-3.0;13.0
729;12.17;12.0;15.0;-3.0;12.0
739;12.146666666666667;12.0;15.0;-3.0;12.0
749;12.116666666666667;12.0;15.0;-3.0;12.0
759;12.106666666666667;12.0;15.0;-3.0;12.0
769;12.086666666666666;12.0;15.0;-3.0;12.0
779;12.116666666666667;12.0;15.0;-3.0;12.0
789;12.106666666666667;12.0;15.0;-3.0;12.0
799;12.11;12.0;15.0;-3.0;12.0
809;12.11;12.0;15.0;-3.0;12.0
819;12.14;12.0;15.0;-3.0;12.0
829;12.186666666666667;12.0;15.0;-3.0;12.0
839;12.096666666666666;12.0;15.0;-3.0;12.0
849;12.123333333333333;12.0;15.0;-3.0;12.0
859;12.1;12.0;15.0;-3.0;12.0
869;12.123333333333333;12.0;15.0;-3.0;12.0
879;12.103333333333333;12.0;15.0;-3.0;12.0
889;12.166666666666666;12.0;15.0;-3.0;12.0
899;12.076666666666666;12.0;15.0;-3.0;12.0
909;12.106666666666667;12.0;15.0;-3.0;12.0
919;12.086666666666666;12.0;15.0;-3.0;12.0
929;12.093333333333334;12.0;15.0;-3.0;12.0
939;12.126666666666667;12.0;15.0;-3.0;12.0
949;12.116666666666667;12.0;15.0;-3.0;12.0
959;12.13;12.0;15.0;-3.0;12.0
969;12.153333333333334;12.0;15.0;-3.0;12.0
979;12.133333333333333;12.0;15.0;-3.0;12.0
989;12.093333333333334;12.0;15.0;-3.0;12.0
999;12.136666666666667;12.0;15.0;-3.0;12.0
1009;12.056666666666667;12.0;15.0;-3.0;12.0
1019;12.16;12.0;15.0;-3.0;12.0
1029;12.133333333333333;12.0;15.0;-3.0;12.0
1039;12.16;12.0;15.0;-3.0;12.0
1049;12.16;12.0;15.0;-3.0;12.0
1059;12.086666666666666;12.0;15.0;-3.0;12.0
1069;12.086666666666666;12.0;15.0;-3.0;12.0
1079;12.113333333333333;12.0;15.0;-3.0;12.0
1089;12.1;12.0;15.0;-3.0;12.0
1099;12.146666666666667;12.0;15.0;-3.0;12.0
1109;12.133333333333333;12.0;15.0;-3.0;12.0
1119;12.126666666666667;12.0;15.0;-3.0;12.0
1129;12.12;12.0;15.0;-3.0;12.0
1139;12.086666666666666;12.0;15.0;-3.0;12.0
1149;12.116666666666667;12.0;15.0;-3.0;12.0
1159;12.14;12.0;15.0;-3.0;12.0
1169;12.096666666666666;12.0;15.0;-3.0;12.0
1179;12.156666666666666;12.0;15.0;-3.0;12.0
1189;12.143333333333333;12.0;15.0;-3.0;12.0
1199;12.13;12.0;15.0;-3.0;12.0
1209;12.126666666666667;12.0;15.0;-3.0;12.0
1219;12.136666666666667;12.0;15.0;-3.0;12.0
1229;12.1;12.0;15.0;-3.0;12.0
1239;11.743333333333334;11.0;15.0;-4.0;11.0
1249;10.09;10.0;13.0;-3.0;10.0
1259;10.086666666666666;10.0;13.0;-3.0;10.0
1269;10.08;10.0;13.0;-3.0;10.0
1279;10.156666666666666;10.0;13.0;-3.0;10.0
1289;10.126666666666667;10.0;13.0;-3.0;10.0
1299;10.09;10.0;13.0;-3.0;10.0
1309;10.12;10.0;13.0;-3.0;10.0
1319;10.113333333333333;10.0;13.0;-3.0;10.0
1329;10.16;10.0;13.0;-3.0;10.0
1339;10.09;10.0;13.0;-3.0;10.0
1349;10.11;10.0;13.0;-3.0;10.0
1359;10.13;10.0;13.0;-3.0;10.0
1369;10.083333333333334;10.0;13.0;-3.0;10.0
1379;10.106666666666667;10.0;13.0;-3.0;10.0
1389;10.036666666666667;10.0;13.0;-3.0;10.0
1399;10.096666666666666;10.0;13.0;-3.0;10.0
1409;10.07;10.0;13.0;-3.0;10.0
1419;10.21;10.0;13.0;-3.0;10.0
1429;10.126666666666667;10.0;13.0;-3.0;10.0
1439;10.12;10.0;13.0;-3.0;10.0
1449;10.133333333333333;10.0;13.0;-3.0;10.0
1459;10.136666666666667;10.0;13.0;-3.0;10.0
1469;10.106666666666667;10.0;13.0;-3.0;10.0
1479;10.066666666666666;10.0;13.0;-3.0;10.0
1489;10.14;10.0;13.0;-3.0;10.0
1499;10.126666666666667;10.0;13.0;-3.0;10.0
1509;10.093333333333334;10.0;13.0;-3.0;10.0
1519;10.116666666666667;10.0;13.0;-3.0;10.0
1529;10.09;10.0;13.0;-3.0;10.0
1539;10.106666666666667;10.0;13.0;-3.0;10.0
1549;10.21;10.0;13.0;-3.0;10.0
1559;10.143333333333333;10.0;13.0;-3.0;10.0
1569;10.123333333333333;10.0;13.0;-3.0;10.0
1579;10.14;10.0;13.0;-3.0;10.0
1589;10.15;10.0;13.0;-3.0;10.0
1599;10.15;10.0;13.0;-3.0;10.0
1609;10.113333333333333;10.0;13.0;-3.0;10.0
1619;10.116666666666667;10.0;13.0;-3.0;10.0
1629;10.11;10.0;13.0;-3.0;10.0
1639;10.19;10.0;13.0;-3.0;10.0
1649;10.11;10.0;13.0;-3.0;10.0
1659;10.116666666666667;10.0;13.0;-3.0;10.0
1669;10.19;10.0;13.0;-3.0;10.0
1679;10.093333333333334;10.0;13.0;-3.0;10.0
1689;10.12;10.0;13.0;-3.0;10.0
1699;10.096666666666666;10.0;13.0;-3.0;10.0
1709;10.153333333333334;10.0;13.0;-3.0;10.0
1719;10.073333333333334;10.0;13.0;-3.0;10.0
1729;10.116666666666667;10.0;13.0;-3.0;10.0
1739;10.14;10.0;13.0;-3.0;10.0
1749;10.106666666666667;10.0;13.0;-3.0;10.0
1759;10.136666666666667;10.0;13.0;-3.0;10.0
1769;10.063333333333333;10.0;13.0;-3.0;10.0
1779;10.11;10.0;13.0;-3.0;10.0
1789;10.063333333333333;10.0;13.0;-3.0;10.0
1799;10.08;10.0;13.0;-3.0;10.0
1809;10.163333333333334;10.0;13.0;-3.0;10.0
1819;10.173333333333334;10.0;13.0;-3.0;10.0
1829;10.07;10.0;13.0;-3.0;10.0
1839;10.113333333333333;10.0;13.0;-3.0;10.0
1849;10.11;10.0;13.0;-3.0;10.0
1859;10.176666666666666;10.0;13.0;-3.0;10.0
1869;10.11;10.0;13.0;-3.0;10.0
1879;10.106666666666667;10.0;13.0;-3.0;10.0
1889;10.09;10.0;13.0;-3.0;10.0
1899;10.216666666666667;10.0;13.0;-3.0;10.0
1909;10.05;10.0;13.0;-3.0;10.0
1919;10.086666666666666;10.0;13.0;-3.0;10.0
1929;10.166666666666666;10.0;13.0;-3.0;10.0
1939;10.136666666666667;10.0;13.0;-3.0;10.0
1949;10.113333333333333;10.0;13.0;-3.0;10.0
1959;10.106666666666667;10.0;13.0;-3.0;10.0
1969;10.16;10.0;13.0;-3.0;10.0
1979;10.1;10.0;13.0;-3.0;10.0
1989;10.08;10.0;13.0;-3.0;10.0
1999;10.07;10.0;13.0;-3.0;10.0
2009;10.1;10.0;13.0;-3.0;10.0
2019;10.106666666666667;10.0;13.0;-3.0;10.0
2029;10.073333333333334;10.0;13.0;-3.0;10.0
