geracao;media da geracao;fitness do melhor da geracao;fitness do pior da geracao;relacao entre melhor e pior;fitness do melhor da run
Probabilidade Recombinação: 0.7
Probabilidade Mutação: 0.049999999999999996
Tipo de Selecção: Torneio
Tipo de Mutação: Simples Al.
Tamanho População: 300
Máximo de Gerações: 15000
0;76.64;63.0;96.0;-33.0;63.0
0;67.66;58.0;77.0;-19.0;58.0
9;49.93666666666667;48.0;53.0;-5.0;48.0
19;43.93333333333333;43.0;47.0;-4.0;43.0
29;37.79;37.0;41.0;-4.0;37.0
39;31.663333333333334;31.0;36.0;-5.0;31.0
49;28.04;28.0;31.0;-3.0;28.0
59;26.04;26.0;29.0;-3.0;26.0
69;26.073333333333334;26.0;29.0;-3.0;26.0
79;25.08;24.0;28.0;-4.0;24.0
89;24.096666666666668;24.0;27.0;-3.0;24.0
99;24.1;24.0;27.0;-3.0;24.0
109;22.13;22.0;25.0;-3.0;22.0
119;22.036666666666665;22.0;25.0;-3.0;22.0
129;21.086666666666666;21.0;24.0;-3.0;21.0
139;21.086666666666666;21.0;24.0;-3.0;21.0
149;21.046666666666667;21.0;24.0;-3.0;21.0
159;21.11;21.0;24.0;-3.0;21.0
169;21.11;21.0;24.0;-3.0;21.0
179;21.1;21.0;24.0;-3.0;21.0
189;20.1;19.0;23.0;-4.0;19.0
199;19.136666666666667;19.0;22.0;-3.0;19.0
209;17.063333333333333;17.0;20.0;-3.0;17.0
219;17.123333333333335;17.0;20.0;-3.0;17.0
229;17.123333333333335;17.0;20.0;-3.0;17.0
239;17.096666666666668;17.0;20.0;-3.0;17.0
249;17.126666666666665;17.0;20.0;-3.0;17.0
259;17.08;17.0;20.0;-3.0;17.0
269;17.15;17.0;20.0;-3.0;17.0
279;17.17;17.0;20.0;-3.0;17.0
289;17.07;17.0;20.0;-3.0;17.0
299;17.10333333333333;17.0;20.0;-3.0;17.0
309;17.08;17.0;20.0;-3.0;17.0
319;17.12;17.0;20.0;-3.0;17.0
329;17.08;17.0;20.0;-3.0;17.0
339;17.173333333333332;17.0;20.0;-3.0;17.0
349;17.123333333333335;17.0;20.0;-3.0;17.0
359;17.1;17.0;20.0;-3.0;17.0
369;17.15;17.0;20.0;-3.0;17.0
379;17.106666666666666;17.0;20.0;-3.0;17.0
389;17.143333333333334;17.0;20.0;-3.0;17.0
399;17.11;17.0;20.0;-3.0;17.0
409;17.10333333333333;17.0;20.0;-3.0;17.0
419;17.083333333333332;17.0;20.0;-3.0;17.0
429;17.133333333333333;17.0;20.0;-3.0;17.0
439;17.066666666666666;17.0;20.0;-3.0;17.0
449;17.10333333333333;17.0;20.0;-3.0;17.0
459;17.11;17.0;20.0;-3.0;17.0
469;17.12;17.0;20.0;-3.0;17.0
479;17.09;17.0;20.0;-3.0;17.0
489;17.11;17.0;20.0;-3.0;17.0
499;17.1;17.0;20.0;-3.0;17.0
509;17.14666666666667;17.0;20.0;-3.0;17.0
519;17.113333333333333;17.0;20.0;-3.0;17.0
529;17.106666666666666;17.0;20.0;-3.0;17.0
539;17.083333333333332;17.0;20.0;-3.0;17.0
549;17.14;17.0;20.0;-3.0;17.0
559;17.15;17.0;20.0;-3.0;17.0
569;17.126666666666665;17.0;20.0;-3.0;17.0
579;17.13;17.0;20.0;-3.0;17.0
589;17.10333333333333;17.0;20.0;-3.0;17.0
599;17.046666666666667;17.0;20.0;-3.0;17.0
609;17.113333333333333;17.0;20.0;-3.0;17.0
619;17.176666666666666;17.0;20.0;-3.0;17.0
629;17.14;17.0;20.0;-3.0;17.0
639;17.10333333333333;17.0;20.0;-3.0;17.0
649;17.116666666666667;17.0;20.0;-3.0;17.0
659;17.123333333333335;17.0;20.0;-3.0;17.0
669;17.076666666666668;17.0;20.0;-3.0;17.0
679;17.143333333333334;17.0;20.0;-3.0;17.0
689;17.033333333333335;17.0;20.0;-3.0;17.0
699;17.14;17.0;20.0;-3.0;17.0
709;17.13;17.0;20.0;-3.0;17.0
719;17.086666666666666;17.0;20.0;-3.0;17.0
729;17.1;17.0;20.0;-3.0;17.0
739;17.153333333333332;17.0;20.0;-3.0;17.0
749;17.143333333333334;17.0;20.0;-3.0;17.0
759;17.123333333333335;17.0;20.0;-3.0;17.0
769;17.1;17.0;20.0;-3.0;17.0
779;17.136666666666667;17.0;20.0;-3.0;17.0
789;17.086666666666666;17.0;20.0;-3.0;17.0
799;17.113333333333333;17.0;20.0;-3.0;17.0
809;17.133333333333333;17.0;20.0;-3.0;17.0
819;17.086666666666666;17.0;20.0;-3.0;17.0
829;17.116666666666667;17.0;20.0;-3.0;17.0
839;17.12;17.0;20.0;-3.0;17.0
849;17.116666666666667;17.0;20.0;-3.0;17.0
859;17.133333333333333;17.0;20.0;-3.0;17.0
869;17.133333333333333;17.0;20.0;-3.0;17.0
879;17.106666666666666;17.0;20.0;-3.0;17.0
889;17.116666666666667;17.0;20.0;-3.0;17.0
899;17.093333333333334;17.0;20.0;-3.0;17.0
909;17.113333333333333;17.0;20.0;-3.0;17.0
