geracao;media da geracao;fitness do melhor da geracao;fitness do pior da geracao;relacao entre melhor e pior;fitness do melhor da run
Probabilidade Recombinação: 0.7
Probabilidade Mutação: 0.049999999999999996
Tipo de Selecção: Torneio
Tipo de Mutação: Troca de Genes
Tamanho População: 300
Máximo de Gerações: 15000
0;83.76666666666667;70.0;100.0;-30.0;70.0
0;75.50333333333333;67.0;84.0;-17.0;67.0
9;53.193333333333335;48.0;61.0;-13.0;48.0
19;40.96333333333333;39.0;46.0;-7.0;39.0
29;34.656666666666666;33.0;44.0;-11.0;33.0
39;29.73;28.0;37.0;-9.0;28.0
49;26.77;24.0;36.0;-12.0;24.0
59;22.743333333333332;22.0;33.0;-11.0;22.0
69;21.743333333333332;21.0;30.0;-9.0;21.0
79;21.683333333333334;21.0;28.0;-7.0;21.0
89;21.596666666666668;20.0;28.0;-8.0;20.0
99;19.89;19.0;29.0;-10.0;19.0
109;18.033333333333335;17.0;26.0;-9.0;17.0
119;17.93;17.0;27.0;-10.0;17.0
129;15.996666666666666;15.0;30.0;-15.0;15.0
139;15.98;15.0;26.0;-11.0;15.0
149;14.933333333333334;13.0;23.0;-10.0;13.0
159;13.36;12.0;23.0;-11.0;12.0
169;12.91;12.0;23.0;-11.0;12.0
179;12.793333333333333;12.0;24.0;-12.0;12.0
189;13.176666666666666;12.0;22.0;-10.0;12.0
199;11.993333333333334;11.0;22.0;-11.0;11.0
209;11.883333333333333;11.0;22.0;-11.0;11.0
219;11.923333333333334;11.0;21.0;-10.0;11.0
229;11.966666666666667;11.0;23.0;-12.0;11.0
239;11.996666666666666;11.0;21.0;-10.0;11.0
249;12.193333333333333;11.0;22.0;-11.0;11.0
259;12.193333333333333;11.0;24.0;-13.0;11.0
269;12.236666666666666;11.0;23.0;-12.0;11.0
279;12.146666666666667;11.0;22.0;-11.0;11.0
289;11.85;11.0;22.0;-11.0;11.0
299;12.103333333333333;11.0;20.0;-9.0;11.0
309;12.146666666666667;11.0;25.0;-14.0;11.0
319;12.283333333333333;11.0;22.0;-11.0;11.0
329;12.066666666666666;11.0;22.0;-11.0;11.0
339;12.06;11.0;21.0;-10.0;11.0
349;11.8;11.0;17.0;-6.0;11.0
359;12.176666666666666;11.0;22.0;-11.0;11.0
369;12.193333333333333;11.0;22.0;-11.0;11.0
379;12.226666666666667;11.0;23.0;-12.0;11.0
389;11.97;11.0;23.0;-12.0;11.0
399;11.983333333333333;11.0;26.0;-15.0;11.0
409;12.16;11.0;25.0;-14.0;11.0
419;11.933333333333334;11.0;21.0;-10.0;11.0
429;12.176666666666666;11.0;26.0;-15.0;11.0
439;11.816666666666666;11.0;23.0;-12.0;11.0
449;11.98;11.0;20.0;-9.0;11.0
459;11.84;11.0;23.0;-12.0;11.0
469;12.206666666666667;11.0;19.0;-8.0;11.0
479;6.796666666666667;6.0;18.0;-12.0;6.0
489;7.16;6.0;21.0;-15.0;6.0
499;7.3133333333333335;6.0;22.0;-16.0;6.0
509;7.07;6.0;18.0;-12.0;6.0
519;7.29;6.0;18.0;-12.0;6.0
529;7.1866666666666665;6.0;18.0;-12.0;6.0
539;7.306666666666667;6.0;21.0;-15.0;6.0
549;7.29;6.0;18.0;-12.0;6.0
559;6.96;6.0;18.0;-12.0;6.0
569;7.183333333333334;6.0;18.0;-12.0;6.0
579;7.093333333333334;6.0;16.0;-10.0;6.0
589;7.226666666666667;6.0;18.0;-12.0;6.0
599;7.223333333333334;6.0;24.0;-18.0;6.0
609;7.113333333333333;6.0;18.0;-12.0;6.0
619;7.156666666666666;6.0;21.0;-15.0;6.0
629;7.376666666666667;6.0;18.0;-12.0;6.0
639;7.026666666666666;6.0;18.0;-12.0;6.0
649;7.1433333333333335;6.0;18.0;-12.0;6.0
659;6.943333333333333;6.0;18.0;-12.0;6.0
669;7.046666666666667;6.0;18.0;-12.0;6.0
679;7.233333333333333;6.0;18.0;-12.0;6.0
689;7.3;6.0;18.0;-12.0;6.0
699;7.276666666666666;6.0;18.0;-12.0;6.0
709;7.173333333333333;6.0;18.0;-12.0;6.0
719;7.08;6.0;18.0;-12.0;6.0
729;7.253333333333333;6.0;18.0;-12.0;6.0
739;6.946666666666666;6.0;18.0;-12.0;6.0
749;7.21;6.0;16.0;-10.0;6.0
759;6.846666666666667;6.0;17.0;-11.0;6.0
769;7.1;6.0;15.0;-9.0;6.0
779;6.903333333333333;6.0;18.0;-12.0;6.0
789;7.153333333333333;6.0;16.0;-10.0;6.0
799;7.243333333333333;6.0;17.0;-11.0;6.0
809;7.27;6.0;18.0;-12.0;6.0
819;6.833333333333333;6.0;14.0;-8.0;6.0
829;7.076666666666667;6.0;22.0;-16.0;6.0
839;7.1066666666666665;6.0;22.0;-16.0;6.0
849;7.36;6.0;18.0;-12.0;6.0
859;6.886666666666667;6.0;21.0;-15.0;6.0
869;7.156666666666666;6.0;17.0;-11.0;6.0
879;6.986666666666666;6.0;21.0;-15.0;6.0
889;6.926666666666667;6.0;16.0;-10.0;6.0
899;6.88;6.0;18.0;-12.0;6.0
