geracao;media da geracao;fitness do melhor da geracao;fitness do pior da geracao;relacao entre melhor e pior;fitness do melhor da run
Probabilidade Recombinação: 0.7
Probabilidade Mutação: 0.05
Tipo de Selecção: Torneio
Tipo de Mutação: Troca de Genes
Tamanho População: 300
Máximo de Gerações: 15000
0;84.60333333333334;69.0;101.0;-32.0;69.0
0;75.58333333333333;66.0;86.0;-20.0;66.0
9;50.83;47.0;58.0;-11.0;47.0
19;39.04;37.0;48.0;-11.0;37.0
29;33.00333333333333;31.0;41.0;-10.0;31.0
39;26.7;25.0;37.0;-12.0;25.0
49;23.803333333333335;23.0;34.0;-11.0;23.0
59;21.87;21.0;30.0;-9.0;21.0
69;20.92;20.0;32.0;-12.0;20.0
79;19.87;19.0;30.0;-11.0;19.0
89;17.69;17.0;29.0;-12.0;17.0
99;16.006666666666668;15.0;28.0;-13.0;15.0
109;15.853333333333333;15.0;24.0;-9.0;15.0
119;14.983333333333333;13.0;25.0;-12.0;13.0
129;13.773333333333333;13.0;23.0;-10.0;13.0
139;12.816666666666666;12.0;19.0;-7.0;12.0
149;13.03;12.0;25.0;-13.0;12.0
159;12.913333333333334;12.0;23.0;-11.0;12.0
169;12.916666666666666;12.0;23.0;-11.0;12.0
179;10.976666666666667;10.0;22.0;-12.0;10.0
189;10.88;10.0;21.0;-11.0;10.0
199;11.076666666666666;10.0;27.0;-17.0;10.0
209;11.026666666666667;10.0;22.0;-12.0;10.0
219;10.89;10.0;20.0;-10.0;10.0
229;9.086666666666666;8.0;19.0;-11.0;8.0
239;9.143333333333333;8.0;18.0;-10.0;8.0
249;9.053333333333333;8.0;19.0;-11.0;8.0
259;9.24;8.0;20.0;-12.0;8.0
269;9.253333333333334;8.0;26.0;-18.0;8.0
279;8.87;8.0;20.0;-12.0;8.0
289;8.946666666666667;8.0;19.0;-11.0;8.0
299;9.003333333333334;8.0;19.0;-11.0;8.0
309;9.04;8.0;20.0;-12.0;8.0
319;8.99;8.0;17.0;-9.0;8.0
329;9.126666666666667;8.0;20.0;-12.0;8.0
339;9.156666666666666;8.0;20.0;-12.0;8.0
349;8.973333333333333;8.0;20.0;-12.0;8.0
359;8.953333333333333;8.0;19.0;-11.0;8.0
369;9.003333333333334;8.0;21.0;-13.0;8.0
379;9.06;8.0;18.0;-10.0;8.0
389;9.12;8.0;20.0;-12.0;8.0
399;9.07;8.0;19.0;-11.0;8.0
409;8.88;8.0;20.0;-12.0;8.0
419;8.796666666666667;8.0;19.0;-11.0;8.0
429;9.136666666666667;8.0;19.0;-11.0;8.0
439;8.99;8.0;18.0;-10.0;8.0
449;9.356666666666667;8.0;20.0;-12.0;8.0
459;9.13;8.0;20.0;-12.0;8.0
469;8.853333333333333;8.0;18.0;-10.0;8.0
479;9.123333333333333;8.0;20.0;-12.0;8.0
489;9.106666666666667;8.0;19.0;-11.0;8.0
499;8.96;8.0;20.0;-12.0;8.0
509;9.096666666666666;8.0;20.0;-12.0;8.0
519;9.136666666666667;8.0;20.0;-12.0;8.0
529;9.013333333333334;8.0;23.0;-15.0;8.0
539;8.82;8.0;20.0;-12.0;8.0
549;8.9;8.0;19.0;-11.0;8.0
559;9.163333333333334;8.0;20.0;-12.0;8.0
569;9.19;8.0;25.0;-17.0;8.0
579;8.96;8.0;20.0;-12.0;8.0
589;9.243333333333334;8.0;18.0;-10.0;8.0
599;9.206666666666667;8.0;20.0;-12.0;8.0
609;9.213333333333333;8.0;26.0;-18.0;8.0
619;9.096666666666666;8.0;25.0;-17.0;8.0
629;9.213333333333333;8.0;24.0;-16.0;8.0
639;8.97;8.0;19.0;-11.0;8.0
649;9.093333333333334;8.0;20.0;-12.0;8.0
659;8.886666666666667;8.0;20.0;-12.0;8.0
669;9.216666666666667;8.0;19.0;-11.0;8.0
679;8.806666666666667;8.0;22.0;-14.0;8.0
689;9.266666666666667;8.0;22.0;-14.0;8.0
699;9.056666666666667;8.0;20.0;-12.0;8.0
709;9.143333333333333;8.0;22.0;-14.0;8.0
719;8.753333333333334;8.0;17.0;-9.0;8.0
729;9.033333333333333;8.0;20.0;-12.0;8.0
739;9.186666666666667;8.0;20.0;-12.0;8.0
749;9.123333333333333;8.0;18.0;-10.0;8.0
759;8.986666666666666;8.0;20.0;-12.0;8.0
769;8.956666666666667;8.0;17.0;-9.0;8.0
779;8.97;8.0;20.0;-12.0;8.0
789;9.283333333333333;8.0;20.0;-12.0;8.0
799;8.996666666666666;8.0;20.0;-12.0;8.0
809;8.996666666666666;8.0;18.0;-10.0;8.0
819;8.883333333333333;8.0;19.0;-11.0;8.0
829;8.82;8.0;20.0;-12.0;8.0
839;9.06;8.0;20.0;-12.0;8.0
849;9.313333333333333;8.0;20.0;-12.0;8.0
859;8.93;8.0;19.0;-11.0;8.0
869;9.133333333333333;8.0;25.0;-17.0;8.0
879;9.12;8.0;20.0;-12.0;8.0
889;8.966666666666667;8.0;20.0;-12.0;8.0
899;9.13;8.0;19.0;-11.0;8.0
909;9.153333333333334;8.0;20.0;-12.0;8.0
919;9.183333333333334;8.0;19.0;-11.0;8.0
929;8.956666666666667;8.0;20.0;-12.0;8.0
939;9.246666666666666;8.0;20.0;-12.0;8.0
949;9.083333333333334;8.0;18.0;-10.0;8.0
959;8.996666666666666;8.0;20.0;-12.0;8.0
969;8.86;8.0;19.0;-11.0;8.0
979;9.03;8.0;24.0;-16.0;8.0
989;8.956666666666667;8.0;20.0;-12.0;8.0
999;8.933333333333334;8.0;18.0;-10.0;8.0
1009;9.046666666666667;8.0;20.0;-12.0;8.0
1019;8.806666666666667;8.0;15.0;-7.0;8.0
1029;8.97;8.0;20.0;-12.0;8.0
1039;9.106666666666667;8.0;20.0;-12.0;8.0
1049;8.833333333333334;8.0;19.0;-11.0;8.0
1059;9.21;8.0;20.0;-12.0;8.0
1069;9.296666666666667;8.0;18.0;-10.0;8.0
1079;8.896666666666667;8.0;19.0;-11.0;8.0
1089;8.85;8.0;16.0;-8.0;8.0
1099;9.03;8.0;18.0;-10.0;8.0
1109;8.973333333333333;8.0;19.0;-11.0;8.0
1119;9.013333333333334;8.0;20.0;-12.0;8.0
1129;9.186666666666667;8.0;20.0;-12.0;8.0
1139;9.0;8.0;20.0;-12.0;8.0
1149;8.89;8.0;20.0;-12.0;8.0
1159;8.986666666666666;8.0;19.0;-11.0;8.0
1169;8.96;8.0;20.0;-12.0;8.0
1179;9.033333333333333;8.0;17.0;-9.0;8.0
1189;8.99;8.0;22.0;-14.0;8.0
1199;9.06;8.0;18.0;-10.0;8.0
1209;9.13;8.0;19.0;-11.0;8.0
1219;8.983333333333333;8.0;20.0;-12.0;8.0
1229;9.193333333333333;8.0;23.0;-15.0;8.0
1239;8.956666666666667;8.0;20.0;-12.0;8.0
1249;8.896666666666667;8.0;20.0;-12.0;8.0
1259;9.223333333333333;8.0;25.0;-17.0;8.0
1269;9.176666666666666;8.0;19.0;-11.0;8.0
1279;8.976666666666667;8.0;19.0;-11.0;8.0
1289;9.073333333333334;8.0;20.0;-12.0;8.0
1299;8.78;8.0;23.0;-15.0;8.0
1309;8.923333333333334;8.0;20.0;-12.0;8.0
1319;8.986666666666666;8.0;19.0;-11.0;8.0
1329;9.02;8.0;20.0;-12.0;8.0
1339;9.096666666666666;8.0;20.0;-12.0;8.0
1349;8.913333333333334;8.0;18.0;-10.0;8.0
1359;9.12;8.0;19.0;-11.0;8.0
1369;8.97;8.0;18.0;-10.0;8.0
1379;9.07;8.0;19.0;-11.0;8.0
1389;9.21;8.0;20.0;-12.0;8.0
1399;8.82;8.0;20.0;-12.0;8.0
1409;9.16;8.0;20.0;-12.0;8.0
1419;9.316666666666666;8.0;20.0;-12.0;8.0
1429;9.123333333333333;8.0;20.0;-12.0;8.0
1439;8.97;8.0;20.0;-12.0;8.0
1449;9.09;8.0;23.0;-15.0;8.0
1459;9.033333333333333;8.0;19.0;-11.0;8.0
1469;8.79;8.0;20.0;-12.0;8.0
1479;9.153333333333334;8.0;19.0;-11.0;8.0
1489;9.236666666666666;8.0;22.0;-14.0;8.0
1499;8.926666666666666;8.0;17.0;-9.0;8.0
1509;9.106666666666667;8.0;19.0;-11.0;8.0
1519;8.916666666666666;8.0;20.0;-12.0;8.0
1529;9.14;8.0;19.0;-11.0;8.0
1539;8.993333333333334;8.0;20.0;-12.0;8.0
1549;9.276666666666667;8.0;20.0;-12.0;8.0
1559;9.333333333333334;8.0;19.0;-11.0;8.0
1569;8.946666666666667;8.0;20.0;-12.0;8.0
1579;8.903333333333334;8.0;15.0;-7.0;8.0
1589;9.21;8.0;19.0;-11.0;8.0
1599;8.976666666666667;8.0;20.0;-12.0;8.0
1609;9.23;8.0;19.0;-11.0;8.0
1619;9.143333333333333;8.0;20.0;-12.0;8.0
1629;9.143333333333333;8.0;20.0;-12.0;8.0
1639;8.95;8.0;22.0;-14.0;8.0
1649;9.053333333333333;8.0;19.0;-11.0;8.0
1659;9.016666666666667;8.0;19.0;-11.0;8.0
1669;9.156666666666666;8.0;18.0;-10.0;8.0
1679;9.12;8.0;20.0;-12.0;8.0
1689;9.25;8.0;19.0;-11.0;8.0
1699;8.903333333333334;8.0;18.0;-10.0;8.0
1709;9.203333333333333;8.0;22.0;-14.0;8.0
1719;8.976666666666667;8.0;24.0;-16.0;8.0
1729;9.02;8.0;22.0;-14.0;8.0
1739;8.816666666666666;8.0;20.0;-12.0;8.0
1749;8.95;8.0;19.0;-11.0;8.0
1759;9.163333333333334;8.0;18.0;-10.0;8.0
1769;9.163333333333334;8.0;24.0;-16.0;8.0
1779;9.173333333333334;8.0;21.0;-13.0;8.0
1789;9.116666666666667;8.0;20.0;-12.0;8.0
1799;9.0;8.0;20.0;-12.0;8.0
1809;9.086666666666666;8.0;18.0;-10.0;8.0
1819;9.033333333333333;8.0;19.0;-11.0;8.0
1829;8.92;8.0;18.0;-10.0;8.0
1839;9.196666666666667;8.0;18.0;-10.0;8.0
1849;9.226666666666667;8.0;19.0;-11.0;8.0
1859;9.093333333333334;8.0;18.0;-10.0;8.0
1869;9.013333333333334;8.0;19.0;-11.0;8.0
1879;9.153333333333334;8.0;24.0;-16.0;8.0
1889;8.996666666666666;8.0;20.0;-12.0;8.0
1899;9.143333333333333;8.0;19.0;-11.0;8.0
1909;8.913333333333334;8.0;19.0;-11.0;8.0
1919;9.1;8.0;20.0;-12.0;8.0
1929;9.183333333333334;8.0;18.0;-10.0;8.0
1939;9.206666666666667;8.0;19.0;-11.0;8.0
1949;9.15;8.0;22.0;-14.0;8.0
1959;9.05;8.0;20.0;-12.0;8.0
1969;9.12;8.0;20.0;-12.0;8.0
1979;8.87;8.0;25.0;-17.0;8.0
1989;9.233333333333333;8.0;19.0;-11.0;8.0
1999;9.2;8.0;22.0;-14.0;8.0
2009;8.663333333333334;8.0;19.0;-11.0;8.0
2019;9.12;8.0;18.0;-10.0;8.0
