geracao;media da geracao;fitness do melhor da geracao;fitness do pior da geracao;relacao entre melhor e pior;fitness do melhor da run
Probabilidade Recombinação: 0.7
Probabilidade Mutação: 0.049999999999999996
Tipo de Selecção: Torneio
Tipo de Mutação: Troca de Genes
Tamanho População: 300
Máximo de Gerações: 15000
0;76.64;63.0;96.0;-33.0;63.0
0;67.75666666666666;58.0;78.0;-20.0;58.0
9;41.91;37.0;49.0;-12.0;37.0
19;31.523333333333333;30.0;37.0;-7.0;30.0
29;26.08;24.0;36.0;-12.0;24.0
39;22.64666666666667;22.0;30.0;-8.0;22.0
49;21.906666666666666;21.0;29.0;-8.0;21.0
59;19.826666666666668;19.0;27.0;-8.0;19.0
69;19.796666666666667;18.0;28.0;-10.0;18.0
79;14.133333333333333;13.0;24.0;-11.0;13.0
89;14.046666666666667;13.0;26.0;-13.0;13.0
99;14.046666666666667;13.0;24.0;-11.0;13.0
109;13.846666666666666;13.0;23.0;-10.0;13.0
119;14.016666666666667;13.0;24.0;-11.0;13.0
129;13.82;13.0;24.0;-11.0;13.0
139;14.023333333333333;13.0;25.0;-12.0;13.0
149;13.686666666666667;13.0;21.0;-8.0;13.0
159;14.02;13.0;30.0;-17.0;13.0
169;13.863333333333333;13.0;21.0;-8.0;13.0
179;13.87;13.0;24.0;-11.0;13.0
189;13.81;13.0;22.0;-9.0;13.0
199;14.08;13.0;24.0;-11.0;13.0
209;13.92;13.0;26.0;-13.0;13.0
219;13.983333333333333;13.0;23.0;-10.0;13.0
229;13.803333333333333;13.0;21.0;-8.0;13.0
239;13.94;13.0;25.0;-12.0;13.0
249;12.003333333333334;10.0;22.0;-12.0;10.0
259;11.113333333333333;10.0;22.0;-12.0;10.0
269;10.753333333333334;10.0;21.0;-11.0;10.0
279;11.08;10.0;21.0;-11.0;10.0
289;11.036666666666667;10.0;21.0;-11.0;10.0
299;11.03;10.0;22.0;-12.0;10.0
309;10.926666666666666;10.0;21.0;-11.0;10.0
319;11.09;10.0;21.0;-11.0;10.0
329;10.893333333333333;10.0;21.0;-11.0;10.0
339;10.98;10.0;22.0;-12.0;10.0
349;11.06;10.0;20.0;-10.0;10.0
359;10.713333333333333;10.0;20.0;-10.0;10.0
369;11.37;10.0;22.0;-12.0;10.0
379;10.9;10.0;22.0;-12.0;10.0
389;11.183333333333334;10.0;22.0;-12.0;10.0
399;10.893333333333333;10.0;22.0;-12.0;10.0
409;10.893333333333333;10.0;20.0;-10.0;10.0
419;10.84;10.0;17.0;-7.0;10.0
429;10.903333333333334;10.0;21.0;-11.0;10.0
439;10.95;10.0;20.0;-10.0;10.0
449;11.03;10.0;20.0;-10.0;10.0
459;11.08;10.0;22.0;-12.0;10.0
469;10.77;10.0;23.0;-13.0;10.0
479;11.146666666666667;10.0;22.0;-12.0;10.0
489;10.793333333333333;10.0;23.0;-13.0;10.0
499;11.083333333333334;10.0;22.0;-12.0;10.0
509;11.1;10.0;21.0;-11.0;10.0
519;10.933333333333334;10.0;17.0;-7.0;10.0
529;10.816666666666666;10.0;19.0;-9.0;10.0
539;11.13;10.0;21.0;-11.0;10.0
549;10.853333333333333;10.0;21.0;-11.0;10.0
559;11.03;10.0;17.0;-7.0;10.0
569;11.393333333333333;10.0;22.0;-12.0;10.0
579;10.876666666666667;10.0;21.0;-11.0;10.0
589;11.086666666666666;10.0;22.0;-12.0;10.0
599;10.863333333333333;10.0;19.0;-9.0;10.0
609;11.113333333333333;10.0;22.0;-12.0;10.0
619;11.0;10.0;22.0;-12.0;10.0
629;10.91;10.0;22.0;-12.0;10.0
639;11.126666666666667;10.0;22.0;-12.0;10.0
649;11.12;10.0;23.0;-13.0;10.0
659;10.986666666666666;10.0;21.0;-11.0;10.0
669;10.903333333333334;10.0;20.0;-10.0;10.0
679;11.1;10.0;25.0;-15.0;10.0
689;11.11;10.0;19.0;-9.0;10.0
699;11.32;10.0;21.0;-11.0;10.0
709;11.1;10.0;22.0;-12.0;10.0
719;11.253333333333334;10.0;21.0;-11.0;10.0
729;11.263333333333334;10.0;22.0;-12.0;10.0
739;11.23;10.0;23.0;-13.0;10.0
749;10.926666666666666;10.0;22.0;-12.0;10.0
759;11.08;10.0;21.0;-11.0;10.0
769;10.923333333333334;10.0;20.0;-10.0;10.0
779;11.06;10.0;21.0;-11.0;10.0
789;10.963333333333333;10.0;22.0;-12.0;10.0
799;11.046666666666667;10.0;21.0;-11.0;10.0
809;10.796666666666667;10.0;19.0;-9.0;10.0
819;11.073333333333334;10.0;22.0;-12.0;10.0
829;11.126666666666667;10.0;23.0;-13.0;10.0
839;10.99;10.0;21.0;-11.0;10.0
849;10.953333333333333;10.0;20.0;-10.0;10.0
859;11.176666666666666;10.0;21.0;-11.0;10.0
869;11.016666666666667;10.0;21.0;-11.0;10.0
879;11.04;10.0;22.0;-12.0;10.0
889;11.03;10.0;20.0;-10.0;10.0
899;10.73;10.0;21.0;-11.0;10.0
909;11.073333333333334;10.0;21.0;-11.0;10.0
919;11.013333333333334;10.0;18.0;-8.0;10.0
