geracao;media da geracao;fitness do melhor da geracao;fitness do pior da geracao;relacao entre melhor e pior;fitness do melhor da run
Probabilidade Recombinação: 0.7
Probabilidade Mutação: 0.05
Tipo de Selecção: Torneio
Tipo de Mutação: Troca De Blocos
Tamanho População: 300
Máximo de Gerações: 5000000
0;76.64;63.0;96.0;-33.0;63.0
0;69.34;59.0;77.0;-18.0;59.0
9;52.38333333333333;51.0;65.0;-14.0;51.0
19;49.39;49.0;63.0;-14.0;49.0
29;45.56333333333333;45.0;62.0;-17.0;45.0
39;43.51;42.0;61.0;-19.0;42.0
49;42.556666666666665;40.0;57.0;-17.0;40.0
59;40.74666666666667;40.0;63.0;-23.0;40.0
69;40.38666666666666;40.0;57.0;-17.0;40.0
79;40.52333333333333;40.0;58.0;-18.0;40.0
89;40.403333333333336;40.0;55.0;-15.0;40.0
99;40.42333333333333;40.0;61.0;-21.0;40.0
109;40.60333333333333;40.0;56.0;-16.0;40.0
119;40.62;40.0;57.0;-17.0;40.0
129;40.55;40.0;57.0;-17.0;40.0
139;40.73;40.0;59.0;-19.0;40.0
149;40.373333333333335;40.0;59.0;-19.0;40.0
159;40.51;40.0;59.0;-19.0;40.0
169;40.55;40.0;56.0;-16.0;40.0
179;40.57666666666667;40.0;60.0;-20.0;40.0
189;40.666666666666664;40.0;59.0;-19.0;40.0
199;40.59;40.0;58.0;-18.0;40.0
209;39.656666666666666;39.0;57.0;-18.0;39.0
219;39.78;39.0;56.0;-17.0;39.0
229;39.49;39.0;58.0;-19.0;39.0
239;39.42666666666667;39.0;60.0;-21.0;39.0
249;39.696666666666665;39.0;60.0;-21.0;39.0
259;39.71;39.0;57.0;-18.0;39.0
269;39.39666666666667;39.0;55.0;-16.0;39.0
279;39.733333333333334;39.0;59.0;-20.0;39.0
289;39.29;39.0;54.0;-15.0;39.0
299;39.67666666666667;39.0;58.0;-19.0;39.0
309;39.39;39.0;57.0;-18.0;39.0
319;39.67333333333333;39.0;61.0;-22.0;39.0
329;39.84;39.0;66.0;-27.0;39.0
339;39.63;39.0;58.0;-19.0;39.0
349;39.35666666666667;39.0;61.0;-22.0;39.0
359;39.626666666666665;39.0;57.0;-18.0;39.0
369;39.72666666666667;39.0;56.0;-17.0;39.0
379;39.50333333333333;39.0;55.0;-16.0;39.0
389;39.556666666666665;39.0;58.0;-19.0;39.0
399;39.723333333333336;39.0;57.0;-18.0;39.0
409;38.39333333333333;38.0;54.0;-16.0;38.0
419;38.45333333333333;38.0;61.0;-23.0;38.0
429;38.693333333333335;38.0;58.0;-20.0;38.0
439;38.46333333333333;38.0;54.0;-16.0;38.0
449;38.733333333333334;38.0;58.0;-20.0;38.0
459;38.593333333333334;38.0;59.0;-21.0;38.0
469;38.45;38.0;54.0;-16.0;38.0
479;38.73;38.0;57.0;-19.0;38.0
489;38.7;38.0;63.0;-25.0;38.0
499;38.36333333333334;38.0;54.0;-16.0;38.0
509;38.67666666666667;38.0;58.0;-20.0;38.0
519;38.736666666666665;38.0;56.0;-18.0;38.0
529;38.52333333333333;38.0;63.0;-25.0;38.0
539;38.44;38.0;56.0;-18.0;38.0
549;38.373333333333335;38.0;58.0;-20.0;38.0
559;38.516666666666666;38.0;55.0;-17.0;38.0
569;38.4;38.0;61.0;-23.0;38.0
579;38.52333333333333;38.0;61.0;-23.0;38.0
589;38.49;38.0;58.0;-20.0;38.0
599;38.513333333333335;38.0;57.0;-19.0;38.0
609;38.413333333333334;38.0;57.0;-19.0;38.0
619;38.50333333333333;38.0;52.0;-14.0;38.0
629;38.62;38.0;62.0;-24.0;38.0
639;37.83;37.0;57.0;-20.0;37.0
649;37.72;37.0;56.0;-19.0;37.0
659;37.75333333333333;37.0;60.0;-23.0;37.0
669;37.42333333333333;37.0;53.0;-16.0;37.0
679;37.486666666666665;37.0;53.0;-16.0;37.0
689;37.63;37.0;55.0;-18.0;37.0
699;37.82666666666667;37.0;57.0;-20.0;37.0
709;37.50666666666667;37.0;55.0;-18.0;37.0
719;37.65;37.0;56.0;-19.0;37.0
729;37.42666666666667;37.0;57.0;-20.0;37.0
739;37.3;37.0;55.0;-18.0;37.0
749;37.583333333333336;37.0;53.0;-16.0;37.0
759;37.303333333333335;37.0;50.0;-13.0;37.0
769;37.61;37.0;55.0;-18.0;37.0
779;36.82333333333333;36.0;55.0;-19.0;36.0
789;36.473333333333336;36.0;52.0;-16.0;36.0
799;36.61666666666667;36.0;52.0;-16.0;36.0
809;36.45;36.0;53.0;-17.0;36.0
819;36.626666666666665;36.0;53.0;-17.0;36.0
829;36.833333333333336;36.0;56.0;-20.0;36.0
839;36.656666666666666;36.0;56.0;-20.0;36.0
849;36.556666666666665;36.0;56.0;-20.0;36.0
859;36.74;36.0;56.0;-20.0;36.0
869;36.63;36.0;57.0;-21.0;36.0
879;36.406666666666666;36.0;56.0;-20.0;36.0
889;36.346666666666664;36.0;52.0;-16.0;36.0
899;36.56;36.0;55.0;-19.0;36.0
909;36.49;36.0;55.0;-19.0;36.0
919;36.45333333333333;36.0;55.0;-19.0;36.0
929;36.53666666666667;36.0;54.0;-18.0;36.0
939;36.8;36.0;57.0;-21.0;36.0
949;36.43;36.0;57.0;-21.0;36.0
959;36.556666666666665;36.0;58.0;-22.0;36.0
969;36.873333333333335;36.0;57.0;-21.0;36.0
979;36.72;36.0;57.0;-21.0;36.0
989;36.79;36.0;56.0;-20.0;36.0
999;36.56;36.0;56.0;-20.0;36.0
1009;36.79;36.0;56.0;-20.0;36.0
1019;36.63;36.0;56.0;-20.0;36.0
1029;36.443333333333335;36.0;54.0;-18.0;36.0
1039;36.39;36.0;57.0;-21.0;36.0
1049;36.376666666666665;36.0;50.0;-14.0;36.0
1059;36.85666666666667;36.0;56.0;-20.0;36.0
1069;36.42666666666667;36.0;53.0;-17.0;36.0
1079;36.49666666666667;36.0;55.0;-19.0;36.0
1089;36.696666666666665;36.0;58.0;-22.0;36.0
1099;36.28333333333333;36.0;50.0;-14.0;36.0
1109;36.61666666666667;36.0;55.0;-19.0;36.0
1119;36.24;36.0;59.0;-23.0;36.0
1129;36.59;36.0;62.0;-26.0;36.0
1139;36.39333333333333;36.0;51.0;-15.0;36.0
1149;36.586666666666666;36.0;57.0;-21.0;36.0
1159;36.44;36.0;52.0;-16.0;36.0
1169;36.65;36.0;53.0;-17.0;36.0
1179;36.46;36.0;53.0;-17.0;36.0
1189;36.696666666666665;36.0;62.0;-26.0;36.0
1199;36.7;36.0;54.0;-18.0;36.0
1209;36.63333333333333;36.0;57.0;-21.0;36.0
1219;36.49;36.0;54.0;-18.0;36.0
1229;36.64;36.0;56.0;-20.0;36.0
1239;36.44;36.0;62.0;-26.0;36.0
1249;36.74333333333333;36.0;57.0;-21.0;36.0
1259;36.25666666666667;36.0;55.0;-19.0;36.0
1269;36.61333333333334;36.0;59.0;-23.0;36.0
1279;36.513333333333335;36.0;55.0;-19.0;36.0
1289;36.67;36.0;56.0;-20.0;36.0
1299;36.513333333333335;36.0;57.0;-21.0;36.0
1309;36.27333333333333;36.0;55.0;-19.0;36.0
1319;36.72666666666667;36.0;55.0;-19.0;36.0
1329;36.336666666666666;36.0;55.0;-19.0;36.0
1339;36.583333333333336;36.0;57.0;-21.0;36.0
1349;36.81;36.0;55.0;-19.0;36.0
1359;36.53666666666667;36.0;56.0;-20.0;36.0
1369;36.54;36.0;52.0;-16.0;36.0
1379;36.666666666666664;36.0;55.0;-19.0;36.0
1389;36.66;36.0;55.0;-19.0;36.0
1399;36.406666666666666;36.0;59.0;-23.0;36.0
1409;36.45;36.0;51.0;-15.0;36.0
1419;36.82333333333333;36.0;58.0;-22.0;36.0
1429;36.45333333333333;36.0;56.0;-20.0;36.0
1439;36.50666666666667;36.0;55.0;-19.0;36.0
1449;36.60333333333333;36.0;56.0;-20.0;36.0
1459;36.346666666666664;36.0;55.0;-19.0;36.0
1469;37.026666666666664;36.0;57.0;-21.0;36.0
1479;36.47;36.0;53.0;-17.0;36.0
1489;36.57666666666667;36.0;56.0;-20.0;36.0
1499;36.42;36.0;56.0;-20.0;36.0
1509;37.06666666666667;36.0;56.0;-20.0;36.0
1519;36.38333333333333;36.0;55.0;-19.0;36.0
1529;36.45;36.0;60.0;-24.0;36.0
1539;36.486666666666665;36.0;58.0;-22.0;36.0
1549;36.71;36.0;53.0;-17.0;36.0
1559;37.11;36.0;62.0;-26.0;36.0
1569;36.70666666666666;36.0;58.0;-22.0;36.0
1579;36.54666666666667;36.0;57.0;-21.0;36.0
1589;36.59;36.0;57.0;-21.0;36.0
1599;36.58;36.0;54.0;-18.0;36.0
1609;36.736666666666665;36.0;56.0;-20.0;36.0
1619;36.41;36.0;52.0;-16.0;36.0
1629;36.52333333333333;36.0;59.0;-23.0;36.0
1639;36.82333333333333;36.0;62.0;-26.0;36.0
1649;36.50333333333333;36.0;53.0;-17.0;36.0
1659;36.57666666666667;36.0;53.0;-17.0;36.0
1669;36.68666666666667;36.0;56.0;-20.0;36.0
1679;36.373333333333335;36.0;56.0;-20.0;36.0
1689;36.44;36.0;53.0;-17.0;36.0
1699;36.373333333333335;36.0;55.0;-19.0;36.0
1709;36.44;36.0;52.0;-16.0;36.0
1719;36.74666666666667;36.0;53.0;-17.0;36.0
1729;36.61666666666667;36.0;57.0;-21.0;36.0
1739;36.42666666666667;36.0;57.0;-21.0;36.0
1749;36.526666666666664;36.0;53.0;-17.0;36.0
1759;36.67333333333333;36.0;55.0;-19.0;36.0
1769;36.70333333333333;36.0;53.0;-17.0;36.0
1779;36.71333333333333;36.0;59.0;-23.0;36.0
1789;36.44;36.0;62.0;-26.0;36.0
1799;36.696666666666665;36.0;55.0;-19.0;36.0
1809;36.58;36.0;53.0;-17.0;36.0
1819;36.68;36.0;61.0;-25.0;36.0
1829;36.57333333333333;36.0;56.0;-20.0;36.0
1839;37.05;36.0;56.0;-20.0;36.0
1849;36.34;36.0;56.0;-20.0;36.0
1859;36.986666666666665;36.0;57.0;-21.0;36.0
1869;36.443333333333335;36.0;59.0;-23.0;36.0
1879;36.51;36.0;55.0;-19.0;36.0
1889;36.556666666666665;36.0;52.0;-16.0;36.0
1899;36.56666666666667;36.0;54.0;-18.0;36.0
1909;36.663333333333334;36.0;56.0;-20.0;36.0
1919;36.38666666666666;36.0;55.0;-19.0;36.0
1929;36.486666666666665;36.0;55.0;-19.0;36.0
1939;36.54333333333334;36.0;50.0;-14.0;36.0
1949;36.7;36.0;56.0;-20.0;36.0
1959;36.72;36.0;62.0;-26.0;36.0
1969;36.403333333333336;36.0;53.0;-17.0;36.0
1979;36.74;36.0;59.0;-23.0;36.0
1989;36.56333333333333;36.0;55.0;-19.0;36.0
1999;36.68;36.0;61.0;-25.0;36.0
2009;36.473333333333336;36.0;62.0;-26.0;36.0
2019;36.583333333333336;36.0;55.0;-19.0;36.0
2029;36.586666666666666;36.0;52.0;-16.0;36.0
