geracao;media da geracao;fitness do melhor da geracao;fitness do pior da geracao;relacao entre melhor e pior;fitness do melhor da run
Probabilidade Recombinação: 0.7
Probabilidade Mutação: 0.049999999999999996
Tipo de Selecção: Torneio
Tipo de Mutação: Simples
Tamanho População: 300
Máximo de Gerações: 15000
0;84.60333333333334;69.0;101.0;-32.0;69.0
0;76.46;65.0;91.0;-26.0;65.0
9;51.06333333333333;42.0;65.0;-23.0;42.0
19;44.2;36.0;57.0;-21.0;36.0
29;39.526666666666664;31.0;53.0;-22.0;30.0
39;35.723333333333336;26.0;52.0;-26.0;26.0
49;34.56666666666667;24.0;49.0;-25.0;24.0
59;32.31666666666667;22.0;47.0;-25.0;22.0
69;29.746666666666666;19.0;46.0;-27.0;19.0
79;30.246666666666666;19.0;44.0;-25.0;19.0
89;29.71;20.0;43.0;-23.0;19.0
99;30.066666666666666;20.0;43.0;-23.0;19.0
109;29.19333333333333;19.0;40.0;-21.0;18.0
119;28.656666666666666;17.0;42.0;-25.0;17.0
129;27.993333333333332;17.0;41.0;-24.0;16.0
139;29.066666666666666;20.0;43.0;-23.0;16.0
149;29.233333333333334;20.0;49.0;-29.0;16.0
159;29.05;18.0;43.0;-25.0;16.0
169;29.94;20.0;46.0;-26.0;16.0
179;29.816666666666666;20.0;42.0;-22.0;16.0
189;29.076666666666668;20.0;47.0;-27.0;16.0
199;29.583333333333332;20.0;45.0;-25.0;16.0
209;30.126666666666665;22.0;47.0;-25.0;16.0
219;30.863333333333333;20.0;45.0;-25.0;16.0
229;30.38;20.0;44.0;-24.0;16.0
239;30.043333333333333;18.0;45.0;-27.0;16.0
249;28.386666666666667;19.0;42.0;-23.0;16.0
259;28.5;18.0;42.0;-24.0;16.0
269;28.876666666666665;19.0;42.0;-23.0;16.0
279;28.003333333333334;18.0;42.0;-24.0;16.0
289;27.073333333333334;15.0;44.0;-29.0;15.0
299;24.59;13.0;38.0;-25.0;13.0
309;25.283333333333335;14.0;40.0;-26.0;13.0
319;24.94;12.0;40.0;-28.0;12.0
329;25.31;13.0;38.0;-25.0;12.0
339;24.72;14.0;42.0;-28.0;12.0
349;27.01;16.0;47.0;-31.0;12.0
359;27.473333333333333;17.0;42.0;-25.0;12.0
369;27.99;17.0;45.0;-28.0;12.0
379;27.546666666666667;14.0;45.0;-31.0;12.0
389;26.64666666666667;16.0;42.0;-26.0;12.0
399;26.816666666666666;15.0;42.0;-27.0;12.0
409;26.523333333333333;15.0;42.0;-27.0;12.0
419;26.816666666666666;14.0;45.0;-31.0;12.0
429;26.92;17.0;41.0;-24.0;12.0
439;26.983333333333334;15.0;47.0;-32.0;12.0
449;26.573333333333334;15.0;43.0;-28.0;12.0
459;28.23;17.0;41.0;-24.0;12.0
469;26.533333333333335;16.0;43.0;-27.0;12.0
479;25.816666666666666;12.0;40.0;-28.0;12.0
489;23.68;9.0;40.0;-31.0;9.0
499;22.293333333333333;10.0;41.0;-31.0;9.0
509;23.296666666666667;13.0;42.0;-29.0;9.0
519;25.84;13.0;45.0;-32.0;9.0
529;24.546666666666667;15.0;45.0;-30.0;9.0
539;26.346666666666668;15.0;41.0;-26.0;9.0
549;25.94333333333333;16.0;40.0;-24.0;9.0
559;23.29;12.0;42.0;-30.0;9.0
569;23.953333333333333;11.0;39.0;-28.0;9.0
579;21.64666666666667;11.0;46.0;-35.0;8.0
589;22.066666666666666;10.0;37.0;-27.0;8.0
599;23.436666666666667;12.0;37.0;-25.0;8.0
609;24.87;15.0;37.0;-22.0;8.0
619;22.923333333333332;12.0;37.0;-25.0;8.0
629;24.023333333333333;12.0;40.0;-28.0;8.0
639;24.636666666666667;14.0;41.0;-27.0;8.0
649;26.596666666666668;15.0;47.0;-32.0;8.0
659;24.83;15.0;37.0;-22.0;8.0
669;26.01;16.0;41.0;-25.0;8.0
679;24.81;14.0;40.0;-26.0;8.0
689;24.516666666666666;15.0;43.0;-28.0;8.0
699;26.49;15.0;41.0;-26.0;8.0
709;25.523333333333333;14.0;39.0;-25.0;8.0
719;23.69333333333333;11.0;38.0;-27.0;8.0
729;25.276666666666667;14.0;41.0;-27.0;8.0
739;25.126666666666665;14.0;41.0;-27.0;8.0
749;25.406666666666666;15.0;41.0;-26.0;8.0
759;24.966666666666665;13.0;41.0;-28.0;8.0
769;25.613333333333333;11.0;41.0;-30.0;8.0
779;24.446666666666665;14.0;44.0;-30.0;8.0
789;24.186666666666667;12.0;42.0;-30.0;8.0
799;24.276666666666667;12.0;39.0;-27.0;8.0
809;22.636666666666667;11.0;43.0;-32.0;8.0
819;24.276666666666667;14.0;40.0;-26.0;8.0
829;24.026666666666667;12.0;36.0;-24.0;8.0
839;23.916666666666668;14.0;37.0;-23.0;8.0
849;24.526666666666667;15.0;37.0;-22.0;8.0
859;24.013333333333332;14.0;42.0;-28.0;8.0
869;24.58;15.0;41.0;-26.0;8.0
879;26.246666666666666;16.0;40.0;-24.0;8.0
889;25.19333333333333;14.0;39.0;-25.0;8.0
899;23.37;8.0;37.0;-29.0;8.0
