geracao;media da geracao;fitness do melhor da geracao;fitness do pior da geracao;relacao entre melhor e pior;fitness do melhor da run
Probabilidade Recombinação: 0.7
Probabilidade Mutação: 0.049999999999999996
Tipo de Selecção: Torneio
Tipo de Mutação: Simples
Tamanho População: 300
Máximo de Gerações: 15000
0;76.64;63.0;96.0;-33.0;63.0
0;68.72666666666667;58.0;79.0;-21.0;58.0
9;44.06333333333333;38.0;59.0;-21.0;38.0
19;32.24;25.0;43.0;-18.0;25.0
29;26.093333333333334;21.0;42.0;-21.0;21.0
39;24.783333333333335;18.0;36.0;-18.0;18.0
49;23.106666666666666;18.0;37.0;-19.0;18.0
59;23.16;17.0;35.0;-18.0;17.0
69;22.186666666666667;17.0;36.0;-19.0;17.0
79;21.226666666666667;15.0;35.0;-20.0;15.0
89;20.67;15.0;35.0;-20.0;15.0
99;20.403333333333332;15.0;29.0;-14.0;15.0
109;20.643333333333334;15.0;31.0;-16.0;15.0
119;20.7;15.0;32.0;-17.0;15.0
129;20.39;15.0;32.0;-17.0;15.0
139;20.386666666666667;14.0;33.0;-19.0;14.0
149;19.15;13.0;30.0;-17.0;13.0
159;19.223333333333333;13.0;31.0;-18.0;13.0
169;18.686666666666667;13.0;30.0;-17.0;13.0
179;18.823333333333334;13.0;33.0;-20.0;13.0
189;18.55666666666667;13.0;34.0;-21.0;13.0
199;19.196666666666665;13.0;32.0;-19.0;13.0
209;18.623333333333335;13.0;31.0;-18.0;13.0
219;18.543333333333333;13.0;30.0;-17.0;13.0
229;19.023333333333333;13.0;33.0;-20.0;13.0
239;18.69333333333333;13.0;30.0;-17.0;13.0
249;18.59;13.0;33.0;-20.0;13.0
259;18.8;13.0;32.0;-19.0;13.0
269;18.863333333333333;13.0;31.0;-18.0;13.0
279;18.716666666666665;13.0;29.0;-16.0;13.0
289;18.626666666666665;13.0;32.0;-19.0;13.0
299;18.866666666666667;13.0;30.0;-17.0;13.0
309;18.526666666666667;13.0;36.0;-23.0;13.0
319;18.533333333333335;13.0;29.0;-16.0;13.0
329;18.703333333333333;13.0;32.0;-19.0;13.0
339;18.936666666666667;13.0;31.0;-18.0;13.0
349;18.45;13.0;32.0;-19.0;13.0
359;18.766666666666666;13.0;34.0;-21.0;13.0
369;18.386666666666667;13.0;30.0;-17.0;13.0
379;18.366666666666667;13.0;28.0;-15.0;13.0
389;18.32;13.0;32.0;-19.0;13.0
399;18.62;13.0;30.0;-17.0;13.0
409;18.436666666666667;13.0;28.0;-15.0;13.0
419;18.77;13.0;32.0;-19.0;13.0
429;18.91;13.0;34.0;-21.0;13.0
439;18.75;13.0;29.0;-16.0;13.0
449;18.743333333333332;13.0;31.0;-18.0;13.0
459;18.546666666666667;13.0;34.0;-21.0;13.0
469;18.616666666666667;13.0;30.0;-17.0;13.0
479;18.41;13.0;31.0;-18.0;13.0
489;18.6;13.0;30.0;-17.0;13.0
499;18.55;12.0;31.0;-19.0;12.0
509;18.473333333333333;12.0;28.0;-16.0;12.0
519;17.89666666666667;12.0;30.0;-18.0;12.0
529;17.89;12.0;35.0;-23.0;12.0
539;17.843333333333334;12.0;33.0;-21.0;12.0
549;17.59;12.0;36.0;-24.0;12.0
559;18.0;12.0;29.0;-17.0;12.0
569;18.03;12.0;29.0;-17.0;12.0
579;18.06;12.0;32.0;-20.0;12.0
589;17.85;12.0;30.0;-18.0;12.0
599;17.833333333333332;12.0;29.0;-17.0;12.0
609;17.71;12.0;31.0;-19.0;12.0
619;17.886666666666667;12.0;30.0;-18.0;12.0
629;18.173333333333332;12.0;29.0;-17.0;12.0
639;17.253333333333334;11.0;31.0;-20.0;11.0
649;16.33;11.0;28.0;-17.0;11.0
659;17.34;11.0;31.0;-20.0;11.0
669;16.483333333333334;11.0;29.0;-18.0;11.0
679;16.843333333333334;11.0;30.0;-19.0;11.0
689;16.983333333333334;11.0;34.0;-23.0;11.0
699;16.663333333333334;11.0;32.0;-21.0;11.0
709;16.83;11.0;38.0;-27.0;11.0
719;16.716666666666665;11.0;27.0;-16.0;11.0
729;17.483333333333334;11.0;31.0;-20.0;11.0
739;17.116666666666667;11.0;39.0;-28.0;11.0
749;17.04;11.0;30.0;-19.0;11.0
759;16.986666666666668;11.0;26.0;-15.0;11.0
769;16.623333333333335;11.0;32.0;-21.0;11.0
779;16.953333333333333;11.0;28.0;-17.0;11.0
789;16.51;11.0;27.0;-16.0;11.0
799;17.04;11.0;30.0;-19.0;11.0
809;17.286666666666665;11.0;33.0;-22.0;11.0
819;16.873333333333335;11.0;27.0;-16.0;11.0
829;16.833333333333332;11.0;29.0;-18.0;11.0
839;16.63;11.0;30.0;-19.0;11.0
849;16.516666666666666;11.0;31.0;-20.0;11.0
859;17.183333333333334;11.0;28.0;-17.0;11.0
869;17.1;11.0;28.0;-17.0;11.0
879;17.086666666666666;11.0;31.0;-20.0;11.0
889;16.826666666666668;11.0;27.0;-16.0;11.0
899;16.383333333333333;11.0;29.0;-18.0;11.0
909;16.633333333333333;11.0;31.0;-20.0;11.0
