geracao;media da geracao;fitness do melhor da geracao;fitness do pior da geracao;relacao entre melhor e pior;fitness do melhor da run
Probabilidade Recombinação: 0.7
Probabilidade Mutação: 0.049999999999999996
Tipo de Selecção: Torneio
Tipo de Mutação: Simples Al.
Tamanho População: 300
Máximo de Gerações: 15000
0;84.60333333333334;69.0;101.0;-32.0;69.0
0;75.43666666666667;64.0;87.0;-23.0;64.0
9;55.23;53.0;60.0;-7.0;53.0
19;45.82333333333333;44.0;48.0;-4.0;44.0
29;37.013333333333335;36.0;40.0;-4.0;36.0
39;31.093333333333334;31.0;34.0;-3.0;31.0
49;29.1;28.0;32.0;-4.0;28.0
59;27.973333333333333;26.0;31.0;-5.0;26.0
69;25.266666666666666;25.0;29.0;-4.0;25.0
79;23.126666666666665;23.0;26.0;-3.0;23.0
89;21.12;21.0;24.0;-3.0;21.0
99;21.106666666666666;21.0;24.0;-3.0;21.0
109;21.073333333333334;21.0;24.0;-3.0;21.0
119;21.12;21.0;24.0;-3.0;21.0
129;20.13;20.0;23.0;-3.0;20.0
139;19.083333333333332;19.0;22.0;-3.0;19.0
149;17.063333333333333;17.0;20.0;-3.0;17.0
159;17.096666666666668;17.0;20.0;-3.0;17.0
169;15.083333333333334;15.0;18.0;-3.0;15.0
179;15.136666666666667;15.0;18.0;-3.0;15.0
189;15.113333333333333;15.0;18.0;-3.0;15.0
199;15.136666666666667;15.0;18.0;-3.0;15.0
209;15.14;15.0;18.0;-3.0;15.0
219;14.096666666666666;14.0;17.0;-3.0;14.0
229;14.086666666666666;14.0;17.0;-3.0;14.0
239;14.126666666666667;14.0;17.0;-3.0;14.0
249;14.09;14.0;17.0;-3.0;14.0
259;14.086666666666666;14.0;17.0;-3.0;14.0
269;14.09;14.0;17.0;-3.0;14.0
279;14.133333333333333;14.0;17.0;-3.0;14.0
289;14.113333333333333;14.0;17.0;-3.0;14.0
299;14.08;14.0;17.0;-3.0;14.0
309;14.103333333333333;14.0;17.0;-3.0;14.0
319;14.123333333333333;14.0;17.0;-3.0;14.0
329;14.133333333333333;14.0;17.0;-3.0;14.0
339;14.143333333333333;14.0;17.0;-3.0;14.0
349;14.116666666666667;14.0;17.0;-3.0;14.0
359;14.116666666666667;14.0;17.0;-3.0;14.0
369;14.133333333333333;14.0;17.0;-3.0;14.0
379;14.086666666666666;14.0;17.0;-3.0;14.0
389;14.076666666666666;14.0;17.0;-3.0;14.0
399;14.096666666666666;14.0;17.0;-3.0;14.0
409;14.103333333333333;14.0;17.0;-3.0;14.0
419;14.086666666666666;14.0;17.0;-3.0;14.0
429;14.086666666666666;14.0;17.0;-3.0;14.0
439;14.126666666666667;14.0;17.0;-3.0;14.0
449;14.15;14.0;17.0;-3.0;14.0
459;14.103333333333333;14.0;17.0;-3.0;14.0
469;14.12;14.0;17.0;-3.0;14.0
479;14.14;14.0;17.0;-3.0;14.0
489;14.193333333333333;14.0;17.0;-3.0;14.0
499;14.116666666666667;14.0;17.0;-3.0;14.0
509;14.156666666666666;14.0;17.0;-3.0;14.0
519;14.103333333333333;14.0;17.0;-3.0;14.0
529;14.09;14.0;17.0;-3.0;14.0
539;14.1;14.0;17.0;-3.0;14.0
549;14.103333333333333;14.0;17.0;-3.0;14.0
559;14.153333333333334;14.0;17.0;-3.0;14.0
569;14.096666666666666;14.0;17.0;-3.0;14.0
579;14.07;14.0;17.0;-3.0;14.0
589;14.096666666666666;14.0;17.0;-3.0;14.0
599;14.056666666666667;14.0;17.0;-3.0;14.0
609;14.09;14.0;17.0;-3.0;14.0
619;14.153333333333334;14.0;17.0;-3.0;14.0
629;14.083333333333334;14.0;17.0;-3.0;14.0
639;14.113333333333333;14.0;17.0;-3.0;14.0
649;14.11;14.0;17.0;-3.0;14.0
659;14.136666666666667;14.0;17.0;-3.0;14.0
669;14.086666666666666;14.0;17.0;-3.0;14.0
679;14.106666666666667;14.0;17.0;-3.0;14.0
689;14.136666666666667;14.0;17.0;-3.0;14.0
699;14.133333333333333;14.0;17.0;-3.0;14.0
709;14.066666666666666;14.0;17.0;-3.0;14.0
719;14.11;14.0;17.0;-3.0;14.0
729;14.136666666666667;14.0;17.0;-3.0;14.0
739;14.13;14.0;17.0;-3.0;14.0
749;14.126666666666667;14.0;17.0;-3.0;14.0
759;14.106666666666667;14.0;17.0;-3.0;14.0
769;14.06;14.0;17.0;-3.0;14.0
779;14.103333333333333;13.0;17.0;-4.0;13.0
789;13.12;13.0;16.0;-3.0;13.0
799;13.116666666666667;13.0;16.0;-3.0;13.0
809;13.09;13.0;16.0;-3.0;13.0
819;13.113333333333333;13.0;16.0;-3.0;13.0
829;13.14;13.0;16.0;-3.0;13.0
839;13.09;13.0;16.0;-3.0;13.0
849;13.096666666666666;13.0;16.0;-3.0;13.0
859;13.08;13.0;16.0;-3.0;13.0
869;13.13;13.0;16.0;-3.0;13.0
879;13.08;13.0;16.0;-3.0;13.0
889;13.153333333333334;13.0;16.0;-3.0;13.0
899;13.08;13.0;16.0;-3.0;13.0
