geracao;media da geracao;fitness do melhor da geracao;fitness do pior da geracao;relacao entre melhor e pior;fitness do melhor da run
Probabilidade Recombinação: 0.7
Probabilidade Mutação: 0.05
Tipo de Selecção: Torneio
Tipo de Mutação: Simples Al.
Tamanho População: 300
Máximo de Gerações: 15000
0;76.64;63.0;96.0;-33.0;63.0
0;68.03;57.0;80.0;-23.0;57.0
9;49.89333333333333;48.0;53.0;-5.0;48.0
19;44.943333333333335;43.0;48.0;-5.0;43.0
29;40.85333333333333;40.0;43.0;-3.0;40.0
39;36.05;36.0;38.0;-2.0;36.0
49;35.04333333333334;35.0;38.0;-3.0;35.0
59;32.833333333333336;32.0;36.0;-4.0;32.0
69;32.06;32.0;35.0;-3.0;32.0
79;31.11;31.0;34.0;-3.0;31.0
89;30.093333333333334;30.0;33.0;-3.0;30.0
99;29.086666666666666;29.0;32.0;-3.0;29.0
109;29.076666666666668;29.0;32.0;-3.0;29.0
119;29.023333333333333;29.0;31.0;-2.0;29.0
129;29.073333333333334;29.0;32.0;-3.0;29.0
139;28.433333333333334;28.0;32.0;-4.0;28.0
149;28.066666666666666;28.0;31.0;-3.0;28.0
159;28.093333333333334;28.0;31.0;-3.0;28.0
169;28.09;28.0;31.0;-3.0;28.0
179;28.076666666666668;28.0;31.0;-3.0;28.0
189;28.086666666666666;28.0;31.0;-3.0;28.0
199;28.096666666666668;28.0;31.0;-3.0;28.0
209;28.07;28.0;31.0;-3.0;28.0
219;28.09;28.0;31.0;-3.0;28.0
229;28.093333333333334;28.0;31.0;-3.0;28.0
239;28.073333333333334;28.0;31.0;-3.0;28.0
249;28.083333333333332;28.0;31.0;-3.0;28.0
259;28.11;28.0;31.0;-3.0;28.0
269;28.15;28.0;31.0;-3.0;28.0
279;28.106666666666666;28.0;31.0;-3.0;28.0
289;28.05;28.0;31.0;-3.0;28.0
299;27.086666666666666;27.0;30.0;-3.0;27.0
309;27.07;27.0;30.0;-3.0;27.0
319;27.08;27.0;30.0;-3.0;27.0
329;27.08;27.0;30.0;-3.0;27.0
339;27.136666666666667;27.0;30.0;-3.0;27.0
349;27.12;27.0;30.0;-3.0;27.0
359;27.063333333333333;27.0;30.0;-3.0;27.0
369;27.136666666666667;27.0;30.0;-3.0;27.0
379;27.063333333333333;27.0;29.0;-2.0;27.0
389;27.1;27.0;30.0;-3.0;27.0
399;27.08;27.0;30.0;-3.0;27.0
409;27.066666666666666;27.0;30.0;-3.0;27.0
419;27.06;27.0;30.0;-3.0;27.0
429;27.083333333333332;27.0;30.0;-3.0;27.0
439;27.05666666666667;27.0;30.0;-3.0;27.0
449;27.096666666666668;27.0;30.0;-3.0;27.0
459;27.06;27.0;30.0;-3.0;27.0
469;27.07;27.0;30.0;-3.0;27.0
479;27.073333333333334;27.0;30.0;-3.0;27.0
489;27.083333333333332;27.0;30.0;-3.0;27.0
499;27.076666666666668;27.0;30.0;-3.0;27.0
509;27.10333333333333;27.0;30.0;-3.0;27.0
519;27.1;27.0;30.0;-3.0;27.0
529;27.096666666666668;27.0;30.0;-3.0;27.0
539;27.086666666666666;27.0;30.0;-3.0;27.0
549;27.156666666666666;27.0;30.0;-3.0;27.0
559;27.08;27.0;29.0;-2.0;27.0
569;27.06;27.0;30.0;-3.0;27.0
579;27.11;27.0;30.0;-3.0;27.0
589;27.086666666666666;27.0;30.0;-3.0;27.0
599;26.04;26.0;29.0;-3.0;26.0
609;26.106666666666666;26.0;29.0;-3.0;26.0
619;26.14;26.0;29.0;-3.0;26.0
629;25.1;25.0;28.0;-3.0;25.0
639;25.07;25.0;28.0;-3.0;25.0
649;25.073333333333334;25.0;28.0;-3.0;25.0
659;25.076666666666668;25.0;28.0;-3.0;25.0
669;25.06;25.0;28.0;-3.0;25.0
679;25.093333333333334;25.0;28.0;-3.0;25.0
689;25.043333333333333;25.0;28.0;-3.0;25.0
699;25.02;24.0;28.0;-4.0;24.0
709;24.096666666666668;24.0;27.0;-3.0;24.0
719;24.08;24.0;27.0;-3.0;24.0
729;24.066666666666666;24.0;27.0;-3.0;24.0
739;24.136666666666667;24.0;27.0;-3.0;24.0
749;23.163333333333334;23.0;26.0;-3.0;23.0
759;23.113333333333333;23.0;26.0;-3.0;23.0
769;23.05666666666667;23.0;26.0;-3.0;23.0
779;23.123333333333335;23.0;26.0;-3.0;23.0
789;23.073333333333334;23.0;26.0;-3.0;23.0
799;23.10333333333333;23.0;26.0;-3.0;23.0
809;23.096666666666668;23.0;26.0;-3.0;23.0
819;23.053333333333335;23.0;26.0;-3.0;23.0
829;23.10333333333333;23.0;26.0;-3.0;23.0
839;23.096666666666668;23.0;26.0;-3.0;23.0
849;23.113333333333333;23.0;26.0;-3.0;23.0
859;23.113333333333333;23.0;26.0;-3.0;23.0
869;23.096666666666668;23.0;26.0;-3.0;23.0
879;23.093333333333334;23.0;26.0;-3.0;23.0
889;23.09;23.0;26.0;-3.0;23.0
899;23.063333333333333;23.0;26.0;-3.0;23.0
909;23.096666666666668;23.0;26.0;-3.0;23.0
919;23.05666666666667;23.0;26.0;-3.0;23.0
929;23.07;23.0;26.0;-3.0;23.0
939;23.086666666666666;23.0;26.0;-3.0;23.0
949;23.1;23.0;26.0;-3.0;23.0
959;23.113333333333333;23.0;26.0;-3.0;23.0
969;23.12;23.0;26.0;-3.0;23.0
979;23.066666666666666;23.0;26.0;-3.0;23.0
989;23.073333333333334;23.0;26.0;-3.0;23.0
999;23.14666666666667;23.0;26.0;-3.0;23.0
1009;23.096666666666668;23.0;26.0;-3.0;23.0
1019;23.036666666666665;23.0;26.0;-3.0;23.0
1029;23.106666666666666;23.0;26.0;-3.0;23.0
1039;23.1;23.0;26.0;-3.0;23.0
1049;23.083333333333332;23.0;26.0;-3.0;23.0
1059;23.12;23.0;26.0;-3.0;23.0
1069;23.143333333333334;23.0;26.0;-3.0;23.0
1079;23.076666666666668;23.0;26.0;-3.0;23.0
1089;23.126666666666665;23.0;26.0;-3.0;23.0
1099;23.073333333333334;23.0;26.0;-3.0;23.0
1109;23.123333333333335;23.0;26.0;-3.0;23.0
1119;23.063333333333333;23.0;26.0;-3.0;23.0
1129;23.053333333333335;23.0;26.0;-3.0;23.0
1139;23.113333333333333;23.0;26.0;-3.0;23.0
1149;23.15;23.0;26.0;-3.0;23.0
1159;23.05666666666667;23.0;26.0;-3.0;23.0
1169;23.13;23.0;26.0;-3.0;23.0
1179;23.096666666666668;23.0;26.0;-3.0;23.0
1189;23.06;23.0;26.0;-3.0;23.0
1199;23.093333333333334;23.0;26.0;-3.0;23.0
1209;23.036666666666665;23.0;26.0;-3.0;23.0
1219;23.05666666666667;23.0;25.0;-2.0;23.0
1229;23.113333333333333;23.0;26.0;-3.0;23.0
1239;23.043333333333333;23.0;26.0;-3.0;23.0
1249;23.076666666666668;23.0;26.0;-3.0;23.0
1259;23.07;23.0;26.0;-3.0;23.0
1269;23.11;23.0;26.0;-3.0;23.0
1279;23.1;23.0;26.0;-3.0;23.0
1289;23.053333333333335;23.0;26.0;-3.0;23.0
1299;23.076666666666668;23.0;26.0;-3.0;23.0
1309;23.07;23.0;26.0;-3.0;23.0
1319;23.106666666666666;23.0;26.0;-3.0;23.0
1329;23.143333333333334;23.0;26.0;-3.0;23.0
1339;23.163333333333334;23.0;26.0;-3.0;23.0
1349;23.06;23.0;26.0;-3.0;23.0
1359;23.063333333333333;23.0;26.0;-3.0;23.0
1369;23.04;23.0;26.0;-3.0;23.0
1379;23.073333333333334;23.0;26.0;-3.0;23.0
1389;23.08;23.0;26.0;-3.0;23.0
1399;23.076666666666668;23.0;26.0;-3.0;23.0
1409;23.12;23.0;26.0;-3.0;23.0
1419;21.51;21.0;25.0;-4.0;21.0
1429;21.12;21.0;24.0;-3.0;21.0
1439;21.17;21.0;24.0;-3.0;21.0
1449;21.09;21.0;24.0;-3.0;21.0
1459;21.096666666666668;21.0;24.0;-3.0;21.0
1469;21.09;21.0;24.0;-3.0;21.0
1479;21.10333333333333;21.0;24.0;-3.0;21.0
1489;21.09;21.0;24.0;-3.0;21.0
1499;21.126666666666665;21.0;24.0;-3.0;21.0
1509;21.076666666666668;21.0;24.0;-3.0;21.0
1519;21.10333333333333;21.0;24.0;-3.0;21.0
1529;21.083333333333332;21.0;24.0;-3.0;21.0
1539;21.083333333333332;21.0;24.0;-3.0;21.0
1549;21.063333333333333;21.0;24.0;-3.0;21.0
1559;21.106666666666666;21.0;24.0;-3.0;21.0
1569;21.08;21.0;24.0;-3.0;21.0
1579;21.093333333333334;21.0;24.0;-3.0;21.0
1589;21.08;21.0;24.0;-3.0;21.0
1599;21.1;21.0;24.0;-3.0;21.0
1609;21.113333333333333;21.0;24.0;-3.0;21.0
1619;21.09;21.0;24.0;-3.0;21.0
1629;21.116666666666667;21.0;24.0;-3.0;21.0
1639;21.12;21.0;24.0;-3.0;21.0
1649;21.05;21.0;24.0;-3.0;21.0
1659;21.086666666666666;21.0;24.0;-3.0;21.0
1669;21.11;21.0;24.0;-3.0;21.0
1679;21.096666666666668;21.0;24.0;-3.0;21.0
1689;21.093333333333334;21.0;24.0;-3.0;21.0
1699;21.106666666666666;21.0;24.0;-3.0;21.0
1709;21.136666666666667;21.0;24.0;-3.0;21.0
1719;21.123333333333335;21.0;24.0;-3.0;21.0
1729;21.09;21.0;24.0;-3.0;21.0
1739;21.11;21.0;24.0;-3.0;21.0
1749;21.136666666666667;21.0;24.0;-3.0;21.0
1759;21.09;21.0;24.0;-3.0;21.0
1769;21.126666666666665;21.0;24.0;-3.0;21.0
1779;21.15;21.0;24.0;-3.0;21.0
1789;21.076666666666668;21.0;24.0;-3.0;21.0
1799;21.116666666666667;21.0;24.0;-3.0;21.0
1809;21.1;21.0;24.0;-3.0;21.0
1819;21.05;21.0;24.0;-3.0;21.0
1829;21.063333333333333;21.0;24.0;-3.0;21.0
1839;20.093333333333334;20.0;23.0;-3.0;20.0
1849;19.303333333333335;19.0;23.0;-4.0;19.0
1859;19.14;19.0;22.0;-3.0;19.0
1869;19.13;19.0;22.0;-3.0;19.0
1879;19.076666666666668;19.0;22.0;-3.0;19.0
1889;19.113333333333333;19.0;22.0;-3.0;19.0
1899;19.086666666666666;19.0;22.0;-3.0;19.0
1909;19.106666666666666;19.0;22.0;-3.0;19.0
1919;19.12;19.0;22.0;-3.0;19.0
1929;19.14;19.0;22.0;-3.0;19.0
1939;19.08;19.0;22.0;-3.0;19.0
1949;19.113333333333333;19.0;22.0;-3.0;19.0
1959;19.046666666666667;19.0;22.0;-3.0;19.0
1969;19.13;19.0;22.0;-3.0;19.0
1979;19.116666666666667;19.0;22.0;-3.0;19.0
1989;19.1;19.0;22.0;-3.0;19.0
1999;19.086666666666666;19.0;22.0;-3.0;19.0
2009;19.086666666666666;19.0;22.0;-3.0;19.0
2019;19.08;19.0;22.0;-3.0;19.0
2029;19.12;19.0;22.0;-3.0;19.0
