geracao;media da geracao;fitness do melhor da geracao;fitness do pior da geracao;relacao entre melhor e pior;fitness do melhor da run
Probabilidade Recombinação: 0.7
Probabilidade Mutação: 0.049999999999999996
Tipo de Selecção: Torneio
Tipo de Mutação: Troca de Genes
Tamanho População: 300
Máximo de Gerações: 15000
0;84.60333333333334;69.0;101.0;-32.0;69.0
0;75.51;64.0;88.0;-24.0;64.0
9;51.08;47.0;58.0;-11.0;47.0
19;37.346666666666664;36.0;46.0;-10.0;36.0
29;31.64;30.0;39.0;-9.0;30.0
39;28.656666666666666;26.0;36.0;-10.0;26.0
49;25.736666666666668;25.0;33.0;-8.0;25.0
59;24.796666666666667;24.0;40.0;-16.0;24.0
69;24.74;23.0;35.0;-12.0;23.0
79;23.763333333333332;23.0;32.0;-9.0;23.0
89;22.77;22.0;35.0;-13.0;22.0
99;22.923333333333332;22.0;33.0;-11.0;22.0
109;21.716666666666665;21.0;29.0;-8.0;21.0
119;20.85;20.0;28.0;-8.0;20.0
129;20.64;20.0;30.0;-10.0;20.0
139;19.49;18.0;27.0;-9.0;18.0
149;18.80666666666667;17.0;30.0;-13.0;17.0
159;16.836666666666666;16.0;28.0;-12.0;16.0
169;16.94;16.0;27.0;-11.0;16.0
179;16.926666666666666;16.0;27.0;-11.0;16.0
189;16.863333333333333;16.0;25.0;-9.0;16.0
199;16.013333333333332;15.0;27.0;-12.0;15.0
209;15.886666666666667;15.0;25.0;-10.0;15.0
219;15.83;15.0;25.0;-10.0;15.0
229;14.0;13.0;24.0;-11.0;13.0
239;11.093333333333334;10.0;22.0;-12.0;10.0
249;10.856666666666667;10.0;18.0;-8.0;10.0
259;9.436666666666667;7.0;20.0;-13.0;7.0
269;8.166666666666666;7.0;25.0;-18.0;7.0
279;8.0;7.0;19.0;-12.0;7.0
289;8.026666666666667;7.0;23.0;-16.0;7.0
299;8.02;7.0;17.0;-10.0;7.0
309;7.986666666666666;7.0;16.0;-9.0;7.0
319;8.02;7.0;17.0;-10.0;7.0
329;8.103333333333333;7.0;19.0;-12.0;7.0
339;8.206666666666667;7.0;18.0;-11.0;7.0
349;7.933333333333334;7.0;18.0;-11.0;7.0
359;8.003333333333334;7.0;17.0;-10.0;7.0
369;8.006666666666666;7.0;20.0;-13.0;7.0
379;8.01;7.0;17.0;-10.0;7.0
389;8.06;7.0;19.0;-12.0;7.0
399;8.083333333333334;7.0;17.0;-10.0;7.0
409;7.866666666666666;7.0;16.0;-9.0;7.0
419;7.8133333333333335;7.0;17.0;-10.0;7.0
429;8.023333333333333;7.0;19.0;-12.0;7.0
439;8.056666666666667;7.0;23.0;-16.0;7.0
449;8.293333333333333;7.0;18.0;-11.0;7.0
459;8.203333333333333;7.0;19.0;-12.0;7.0
469;7.886666666666667;7.0;19.0;-12.0;7.0
479;8.116666666666667;7.0;19.0;-12.0;7.0
489;8.146666666666667;7.0;19.0;-12.0;7.0
499;7.86;7.0;19.0;-12.0;7.0
509;8.016666666666667;7.0;19.0;-12.0;7.0
519;8.076666666666666;7.0;19.0;-12.0;7.0
529;8.03;7.0;19.0;-12.0;7.0
539;7.8966666666666665;7.0;18.0;-11.0;7.0
549;8.06;7.0;19.0;-12.0;7.0
559;8.086666666666666;7.0;19.0;-12.0;7.0
569;8.103333333333333;7.0;23.0;-16.0;7.0
579;7.906666666666666;7.0;18.0;-11.0;7.0
589;8.263333333333334;7.0;17.0;-10.0;7.0
599;8.27;7.0;19.0;-12.0;7.0
609;8.133333333333333;7.0;23.0;-16.0;7.0
619;8.126666666666667;7.0;23.0;-16.0;7.0
629;8.25;7.0;19.0;-12.0;7.0
639;8.03;7.0;19.0;-12.0;7.0
649;8.136666666666667;7.0;19.0;-12.0;7.0
659;7.843333333333334;7.0;17.0;-10.0;7.0
669;8.17;7.0;19.0;-12.0;7.0
679;7.76;7.0;17.0;-10.0;7.0
689;8.246666666666666;7.0;19.0;-12.0;7.0
699;8.016666666666667;7.0;19.0;-12.0;7.0
709;8.19;7.0;19.0;-12.0;7.0
719;7.8;7.0;17.0;-10.0;7.0
729;7.996666666666667;7.0;19.0;-12.0;7.0
739;8.266666666666667;7.0;17.0;-10.0;7.0
749;8.113333333333333;7.0;18.0;-11.0;7.0
759;8.096666666666666;7.0;18.0;-11.0;7.0
769;7.95;7.0;18.0;-11.0;7.0
779;7.973333333333334;7.0;19.0;-12.0;7.0
789;8.31;7.0;18.0;-11.0;7.0
799;8.043333333333333;7.0;18.0;-11.0;7.0
809;7.986666666666666;7.0;17.0;-10.0;7.0
819;7.973333333333334;7.0;18.0;-11.0;7.0
829;7.956666666666667;7.0;19.0;-12.0;7.0
839;8.036666666666667;7.0;19.0;-12.0;7.0
849;8.33;7.0;17.0;-10.0;7.0
859;7.99;7.0;17.0;-10.0;7.0
869;8.01;7.0;25.0;-18.0;7.0
879;8.19;7.0;19.0;-12.0;7.0
889;7.8966666666666665;7.0;17.0;-10.0;7.0
899;8.176666666666666;7.0;17.0;-10.0;7.0
909;8.116666666666667;7.0;18.0;-11.0;7.0
