geracao;media da geracao;fitness do melhor da geracao;fitness do pior da geracao;relacao entre melhor e pior;fitness do melhor da run
Probabilidade Recombinação: 0.7
Probabilidade Mutação: 0.049999999999999996
Tipo de Selecção: Torneio
Tipo de Mutação: Troca de Genes
Tamanho População: 300
Máximo de Gerações: 15000
0;76.64;63.0;96.0;-33.0;63.0
0;68.07;57.0;80.0;-23.0;57.0
9;47.29;43.0;54.0;-11.0;43.0
19;35.553333333333335;34.0;44.0;-10.0;34.0
29;28.106666666666666;25.0;36.0;-11.0;25.0
39;21.49;19.0;30.0;-11.0;19.0
49;18.996666666666666;18.0;27.0;-9.0;18.0
59;18.166666666666668;17.0;27.0;-10.0;17.0
69;18.11;17.0;28.0;-11.0;17.0
79;18.10333333333333;17.0;28.0;-11.0;17.0
89;17.94;16.0;29.0;-13.0;16.0
99;17.043333333333333;16.0;26.0;-10.0;16.0
109;16.82;16.0;26.0;-10.0;16.0
119;16.076666666666668;15.0;26.0;-11.0;15.0
129;14.88;14.0;25.0;-11.0;14.0
139;14.833333333333334;14.0;24.0;-10.0;14.0
149;13.67;13.0;22.0;-9.0;13.0
159;13.98;13.0;22.0;-9.0;13.0
169;13.863333333333333;13.0;22.0;-9.0;13.0
179;13.903333333333334;13.0;25.0;-12.0;13.0
189;13.886666666666667;13.0;24.0;-11.0;13.0
199;14.103333333333333;13.0;24.0;-11.0;13.0
209;14.073333333333334;13.0;28.0;-15.0;13.0
219;14.04;13.0;24.0;-11.0;13.0
229;13.786666666666667;13.0;24.0;-11.0;13.0
239;14.016666666666667;13.0;23.0;-10.0;13.0
249;13.936666666666667;13.0;24.0;-11.0;13.0
259;13.973333333333333;13.0;25.0;-12.0;13.0
269;13.733333333333333;13.0;21.0;-8.0;13.0
279;14.066666666666666;13.0;24.0;-11.0;13.0
289;14.046666666666667;13.0;24.0;-11.0;13.0
299;13.976666666666667;13.0;24.0;-11.0;13.0
309;13.813333333333333;13.0;24.0;-11.0;13.0
319;13.996666666666666;13.0;21.0;-8.0;13.0
329;13.913333333333334;13.0;23.0;-10.0;13.0
339;13.813333333333333;13.0;22.0;-9.0;13.0
349;14.076666666666666;13.0;24.0;-11.0;13.0
359;13.646666666666667;13.0;22.0;-9.0;13.0
369;14.37;13.0;25.0;-12.0;13.0
379;13.826666666666666;13.0;25.0;-12.0;13.0
389;14.18;13.0;24.0;-11.0;13.0
399;13.853333333333333;13.0;27.0;-14.0;13.0
409;13.906666666666666;13.0;19.0;-6.0;13.0
419;13.923333333333334;13.0;23.0;-10.0;13.0
429;13.783333333333333;13.0;23.0;-10.0;13.0
439;13.986666666666666;13.0;27.0;-14.0;13.0
449;13.99;13.0;21.0;-8.0;13.0
459;14.076666666666666;13.0;24.0;-11.0;13.0
469;13.783333333333333;13.0;23.0;-10.0;13.0
479;14.04;13.0;25.0;-12.0;13.0
489;13.786666666666667;13.0;27.0;-14.0;13.0
499;14.04;13.0;23.0;-10.0;13.0
509;14.033333333333333;13.0;25.0;-12.0;13.0
519;13.983333333333333;13.0;21.0;-8.0;13.0
529;13.813333333333333;13.0;24.0;-11.0;13.0
539;14.066666666666666;13.0;24.0;-11.0;13.0
549;13.83;13.0;23.0;-10.0;13.0
559;14.07;13.0;23.0;-10.0;13.0
569;14.32;13.0;25.0;-12.0;13.0
579;13.92;13.0;24.0;-11.0;13.0
589;14.056666666666667;13.0;25.0;-12.0;13.0
599;13.886666666666667;13.0;19.0;-6.0;13.0
609;13.943333333333333;13.0;23.0;-10.0;13.0
619;13.96;13.0;25.0;-12.0;13.0
629;13.903333333333334;13.0;22.0;-9.0;13.0
639;14.086666666666666;13.0;24.0;-11.0;13.0
649;13.973333333333333;13.0;23.0;-10.0;13.0
659;13.946666666666667;13.0;25.0;-12.0;13.0
669;13.903333333333334;13.0;25.0;-12.0;13.0
679;14.083333333333334;13.0;25.0;-12.0;13.0
689;13.946666666666667;13.0;22.0;-9.0;13.0
699;14.06;13.0;25.0;-12.0;13.0
709;14.083333333333334;13.0;25.0;-12.0;13.0
719;14.17;13.0;22.0;-9.0;13.0
729;13.976666666666667;13.0;24.0;-11.0;13.0
739;14.19;13.0;23.0;-10.0;13.0
749;13.88;13.0;25.0;-12.0;13.0
759;13.973333333333333;13.0;25.0;-12.0;13.0
769;13.89;13.0;24.0;-11.0;13.0
779;13.963333333333333;13.0;21.0;-8.0;13.0
789;14.036666666666667;13.0;27.0;-14.0;13.0
799;14.113333333333333;13.0;25.0;-12.0;13.0
809;13.853333333333333;13.0;24.0;-11.0;13.0
819;14.046666666666667;13.0;26.0;-13.0;13.0
829;13.983333333333333;13.0;24.0;-11.0;13.0
839;14.056666666666667;13.0;25.0;-12.0;13.0
849;13.986666666666666;13.0;25.0;-12.0;13.0
859;14.116666666666667;13.0;24.0;-11.0;13.0
869;14.01;13.0;24.0;-11.0;13.0
879;13.99;13.0;25.0;-12.0;13.0
889;14.03;13.0;22.0;-9.0;13.0
899;13.78;13.0;24.0;-11.0;13.0
