geracao;media da geracao;fitness do melhor da geracao;fitness do pior da geracao;relacao entre melhor e pior;fitness do melhor da run
Probabilidade Recombinação: 0.7
Probabilidade Mutação: 0.049999999999999996
Tipo de Selecção: Torneio
Tipo de Mutação: Simples
Tamanho População: 300
Máximo de Gerações: 15000
0;76.64;63.0;96.0;-33.0;63.0
0;69.67666666666666;59.0;81.0;-22.0;59.0
9;47.42;39.0;62.0;-23.0;39.0
19;32.99;26.0;45.0;-19.0;26.0
29;29.243333333333332;23.0;40.0;-17.0;23.0
39;27.543333333333333;22.0;37.0;-15.0;22.0
49;25.28;20.0;38.0;-18.0;19.0
59;24.233333333333334;18.0;37.0;-19.0;18.0
69;23.97;18.0;36.0;-18.0;18.0
79;23.933333333333334;17.0;34.0;-17.0;17.0
89;22.54;17.0;34.0;-17.0;17.0
99;22.373333333333335;17.0;33.0;-16.0;17.0
109;22.69333333333333;17.0;34.0;-17.0;17.0
119;22.38;17.0;34.0;-17.0;17.0
129;22.55666666666667;17.0;32.0;-15.0;17.0
139;22.313333333333333;17.0;37.0;-20.0;17.0
149;22.6;17.0;34.0;-17.0;17.0
159;22.596666666666668;17.0;33.0;-16.0;17.0
169;22.523333333333333;17.0;39.0;-22.0;17.0
179;22.196666666666665;17.0;34.0;-17.0;17.0
189;22.276666666666667;17.0;35.0;-18.0;17.0
199;22.363333333333333;17.0;32.0;-15.0;17.0
209;22.64;17.0;36.0;-19.0;17.0
219;22.466666666666665;17.0;35.0;-18.0;17.0
229;22.31;17.0;34.0;-17.0;17.0
239;22.486666666666668;17.0;34.0;-17.0;17.0
249;22.64666666666667;17.0;36.0;-19.0;17.0
259;22.416666666666668;17.0;34.0;-17.0;16.0
269;22.416666666666668;17.0;35.0;-18.0;16.0
279;22.37;17.0;38.0;-21.0;16.0
289;22.95;17.0;40.0;-23.0;16.0
299;23.09;17.0;40.0;-23.0;16.0
309;22.276666666666667;17.0;33.0;-16.0;16.0
319;22.263333333333332;17.0;35.0;-18.0;16.0
329;22.60333333333333;17.0;35.0;-18.0;16.0
339;22.463333333333335;17.0;32.0;-15.0;16.0
349;22.263333333333332;17.0;34.0;-17.0;16.0
359;22.356666666666666;17.0;33.0;-16.0;16.0
369;22.4;17.0;36.0;-19.0;16.0
379;22.516666666666666;17.0;37.0;-20.0;16.0
389;22.27;17.0;36.0;-19.0;16.0
399;22.84;17.0;37.0;-20.0;16.0
409;22.7;17.0;36.0;-19.0;16.0
419;22.8;17.0;35.0;-18.0;16.0
429;22.326666666666668;17.0;36.0;-19.0;16.0
439;22.463333333333335;17.0;34.0;-17.0;16.0
449;22.986666666666668;17.0;34.0;-17.0;16.0
459;23.25;17.0;33.0;-16.0;16.0
469;22.45;17.0;35.0;-18.0;16.0
479;22.60333333333333;17.0;34.0;-17.0;16.0
489;22.523333333333333;17.0;37.0;-20.0;16.0
499;22.593333333333334;17.0;35.0;-18.0;16.0
509;22.35;17.0;34.0;-17.0;16.0
519;22.516666666666666;17.0;38.0;-21.0;16.0
529;22.37;17.0;35.0;-18.0;16.0
539;22.5;17.0;34.0;-17.0;16.0
549;21.686666666666667;14.0;34.0;-20.0;14.0
559;19.723333333333333;14.0;31.0;-17.0;14.0
569;19.753333333333334;14.0;30.0;-16.0;14.0
579;19.843333333333334;14.0;30.0;-16.0;14.0
589;19.793333333333333;14.0;31.0;-17.0;14.0
599;20.236666666666668;14.0;33.0;-19.0;12.0
609;19.936666666666667;14.0;33.0;-19.0;12.0
619;19.543333333333333;14.0;31.0;-17.0;12.0
629;19.9;14.0;35.0;-21.0;12.0
639;19.633333333333333;14.0;30.0;-16.0;12.0
649;20.10333333333333;14.0;31.0;-17.0;12.0
659;19.406666666666666;14.0;33.0;-19.0;12.0
669;19.673333333333332;14.0;32.0;-18.0;12.0
679;19.936666666666667;14.0;33.0;-19.0;12.0
689;20.053333333333335;14.0;34.0;-20.0;12.0
699;19.663333333333334;14.0;30.0;-16.0;12.0
709;20.073333333333334;14.0;32.0;-18.0;12.0
719;19.73;14.0;31.0;-17.0;12.0
729;19.13;12.0;30.0;-18.0;12.0
739;17.763333333333332;12.0;29.0;-17.0;12.0
749;17.883333333333333;12.0;34.0;-22.0;12.0
759;17.73;12.0;31.0;-19.0;12.0
769;17.72;12.0;29.0;-17.0;12.0
779;17.796666666666667;12.0;31.0;-19.0;12.0
789;18.033333333333335;12.0;31.0;-19.0;12.0
799;18.203333333333333;12.0;29.0;-17.0;12.0
809;18.076666666666668;12.0;30.0;-18.0;12.0
819;17.94;12.0;30.0;-18.0;12.0
829;18.073333333333334;12.0;35.0;-23.0;12.0
839;18.19333333333333;12.0;29.0;-17.0;12.0
849;18.286666666666665;12.0;29.0;-17.0;12.0
859;17.706666666666667;12.0;29.0;-17.0;12.0
869;18.13;12.0;30.0;-18.0;12.0
879;17.79;12.0;32.0;-20.0;12.0
889;18.046666666666667;12.0;34.0;-22.0;12.0
899;18.34;12.0;29.0;-17.0;12.0
909;17.393333333333334;12.0;29.0;-17.0;12.0
