geracao;media da geracao;fitness do melhor da geracao;fitness do pior da geracao;relacao entre melhor e pior;fitness do melhor da run
Probabilidade Recombinação: 0.7
Probabilidade Mutação: 0.049999999999999996
Tipo de Selecção: Torneio
Tipo de Mutação: Simples Al.
Tamanho População: 300
Máximo de Gerações: 15000
0;76.64;63.0;96.0;-33.0;63.0
0;69.18333333333334;58.0;82.0;-24.0;58.0
9;34.026666666666664;33.0;37.0;-4.0;33.0
19;31.136666666666667;30.0;34.0;-4.0;30.0
29;26.29;24.0;30.0;-6.0;24.0
39;21.63;21.0;26.0;-5.0;21.0
49;21.04;21.0;24.0;-3.0;21.0
59;21.113333333333333;21.0;24.0;-3.0;21.0
69;21.12;21.0;24.0;-3.0;21.0
79;21.13;21.0;24.0;-3.0;21.0
89;20.133333333333333;20.0;23.0;-3.0;20.0
99;20.08;20.0;23.0;-3.0;20.0
109;20.106666666666666;20.0;23.0;-3.0;20.0
119;20.09;20.0;23.0;-3.0;20.0
129;19.14;19.0;22.0;-3.0;19.0
139;19.116666666666667;19.0;22.0;-3.0;19.0
149;19.09;19.0;22.0;-3.0;19.0
159;19.036666666666665;17.0;22.0;-5.0;17.0
169;17.14;17.0;20.0;-3.0;17.0
179;17.113333333333333;17.0;20.0;-3.0;17.0
189;17.11;17.0;20.0;-3.0;17.0
199;17.11;17.0;20.0;-3.0;17.0
209;17.096666666666668;17.0;20.0;-3.0;17.0
219;17.096666666666668;17.0;20.0;-3.0;17.0
229;17.143333333333334;17.0;20.0;-3.0;17.0
239;17.05666666666667;17.0;20.0;-3.0;17.0
249;17.093333333333334;17.0;20.0;-3.0;17.0
259;17.106666666666666;17.0;20.0;-3.0;17.0
269;17.116666666666667;17.0;20.0;-3.0;17.0
279;17.12;17.0;20.0;-3.0;17.0
289;17.04;17.0;20.0;-3.0;17.0
299;17.09;17.0;20.0;-3.0;17.0
309;17.123333333333335;17.0;20.0;-3.0;17.0
319;17.09;17.0;20.0;-3.0;17.0
329;17.11;17.0;20.0;-3.0;17.0
339;17.123333333333335;17.0;20.0;-3.0;17.0
349;17.083333333333332;17.0;20.0;-3.0;17.0
359;17.116666666666667;17.0;20.0;-3.0;17.0
369;17.16;17.0;20.0;-3.0;17.0
379;17.123333333333335;17.0;20.0;-3.0;17.0
389;17.083333333333332;17.0;20.0;-3.0;17.0
399;17.096666666666668;17.0;20.0;-3.0;17.0
409;17.09;17.0;20.0;-3.0;17.0
419;17.10333333333333;17.0;20.0;-3.0;17.0
429;17.066666666666666;17.0;20.0;-3.0;17.0
439;17.09;17.0;20.0;-3.0;17.0
449;17.093333333333334;17.0;20.0;-3.0;17.0
459;17.07;17.0;20.0;-3.0;17.0
469;17.136666666666667;17.0;20.0;-3.0;17.0
479;17.05;17.0;20.0;-3.0;17.0
489;17.113333333333333;17.0;20.0;-3.0;17.0
499;17.08;17.0;20.0;-3.0;17.0
509;17.086666666666666;17.0;20.0;-3.0;17.0
519;17.126666666666665;17.0;20.0;-3.0;17.0
529;17.093333333333334;17.0;20.0;-3.0;17.0
539;17.1;17.0;20.0;-3.0;17.0
549;17.10333333333333;17.0;20.0;-3.0;17.0
559;17.05666666666667;17.0;20.0;-3.0;17.0
569;17.136666666666667;17.0;20.0;-3.0;17.0
579;17.09;17.0;20.0;-3.0;17.0
589;17.093333333333334;17.0;20.0;-3.0;17.0
599;17.14;17.0;20.0;-3.0;17.0
609;17.106666666666666;17.0;20.0;-3.0;17.0
619;17.12;17.0;20.0;-3.0;17.0
629;17.136666666666667;17.0;20.0;-3.0;17.0
639;17.083333333333332;17.0;20.0;-3.0;17.0
649;17.10333333333333;17.0;20.0;-3.0;17.0
659;17.143333333333334;17.0;20.0;-3.0;17.0
669;17.10333333333333;17.0;20.0;-3.0;17.0
679;17.05666666666667;17.0;20.0;-3.0;17.0
689;17.12;17.0;20.0;-3.0;17.0
699;17.076666666666668;17.0;20.0;-3.0;17.0
709;17.11;17.0;20.0;-3.0;17.0
719;17.073333333333334;17.0;20.0;-3.0;17.0
729;17.123333333333335;17.0;20.0;-3.0;17.0
739;17.133333333333333;16.0;20.0;-4.0;16.0
749;16.113333333333333;16.0;19.0;-3.0;16.0
759;16.1;16.0;19.0;-3.0;16.0
769;16.116666666666667;16.0;19.0;-3.0;16.0
779;16.143333333333334;16.0;19.0;-3.0;16.0
789;16.096666666666668;16.0;19.0;-3.0;16.0
799;16.06;16.0;19.0;-3.0;16.0
809;16.09;16.0;19.0;-3.0;16.0
819;16.136666666666667;16.0;19.0;-3.0;16.0
829;16.10333333333333;16.0;19.0;-3.0;16.0
839;16.076666666666668;16.0;19.0;-3.0;16.0
849;16.066666666666666;16.0;19.0;-3.0;16.0
859;16.13;16.0;19.0;-3.0;16.0
869;16.123333333333335;16.0;19.0;-3.0;16.0
879;16.09;16.0;19.0;-3.0;16.0
889;16.083333333333332;16.0;19.0;-3.0;16.0
899;16.076666666666668;16.0;19.0;-3.0;16.0
909;16.116666666666667;16.0;19.0;-3.0;16.0
