geracao;media da geracao;fitness do melhor da geracao;fitness do pior da geracao;relacao entre melhor e pior;fitness do melhor da run
Probabilidade Recombinação: 0.7
Probabilidade Mutação: 0.049999999999999996
Tipo de Selecção: Torneio
Tipo de Mutação: Troca de Genes
Tamanho População: 300
Máximo de Gerações: 15000
0;76.64;63.0;96.0;-33.0;63.0
0;69.18333333333334;58.0;83.0;-25.0;58.0
9;41.733333333333334;40.0;49.0;-9.0;40.0
19;34.03;32.0;41.0;-9.0;32.0
29;26.7;24.0;36.0;-12.0;24.0
39;20.05666666666667;19.0;29.0;-10.0;19.0
49;19.736666666666668;19.0;30.0;-11.0;19.0
59;19.956666666666667;19.0;29.0;-10.0;19.0
69;18.916666666666668;18.0;30.0;-12.0;18.0
79;17.76;17.0;23.0;-6.0;17.0
89;17.053333333333335;16.0;27.0;-11.0;16.0
99;14.763333333333334;14.0;23.0;-9.0;14.0
109;14.99;14.0;23.0;-9.0;14.0
119;15.076666666666666;14.0;25.0;-11.0;14.0
129;14.85;14.0;25.0;-11.0;14.0
139;15.25;14.0;24.0;-10.0;14.0
149;14.94;14.0;25.0;-11.0;14.0
159;15.116666666666667;14.0;25.0;-11.0;14.0
169;15.166666666666666;14.0;25.0;-11.0;14.0
179;15.223333333333333;14.0;25.0;-11.0;14.0
189;15.043333333333333;14.0;26.0;-12.0;14.0
199;14.946666666666667;14.0;23.0;-9.0;14.0
209;15.003333333333334;14.0;25.0;-11.0;14.0
219;15.073333333333334;14.0;25.0;-11.0;14.0
229;14.9;14.0;25.0;-11.0;14.0
239;14.946666666666667;14.0;25.0;-11.0;14.0
249;14.936666666666667;14.0;24.0;-10.0;14.0
259;15.12;14.0;23.0;-9.0;14.0
269;14.956666666666667;14.0;24.0;-10.0;14.0
279;14.986666666666666;14.0;25.0;-11.0;14.0
289;15.103333333333333;14.0;25.0;-11.0;14.0
299;14.956666666666667;14.0;23.0;-9.0;14.0
309;14.993333333333334;14.0;27.0;-13.0;14.0
319;14.92;14.0;24.0;-10.0;14.0
329;15.153333333333334;14.0;26.0;-12.0;14.0
339;14.963333333333333;14.0;24.0;-10.0;14.0
349;14.983333333333333;14.0;23.0;-9.0;14.0
359;14.906666666666666;14.0;25.0;-11.0;14.0
369;14.966666666666667;14.0;22.0;-8.0;14.0
379;15.0;14.0;23.0;-9.0;14.0
389;15.173333333333334;14.0;25.0;-11.0;14.0
399;14.99;14.0;26.0;-12.0;14.0
409;14.903333333333334;14.0;25.0;-11.0;14.0
419;15.04;14.0;25.0;-11.0;14.0
429;15.026666666666667;14.0;23.0;-9.0;14.0
439;15.06;14.0;25.0;-11.0;14.0
449;14.966666666666667;14.0;29.0;-15.0;14.0
459;15.01;14.0;25.0;-11.0;14.0
469;14.993333333333334;14.0;24.0;-10.0;14.0
479;14.913333333333334;14.0;25.0;-11.0;14.0
489;14.95;14.0;26.0;-12.0;14.0
499;15.083333333333334;14.0;29.0;-15.0;14.0
509;14.956666666666667;14.0;27.0;-13.0;14.0
519;14.866666666666667;14.0;23.0;-9.0;14.0
529;15.09;14.0;28.0;-14.0;14.0
539;15.03;14.0;23.0;-9.0;14.0
549;14.83;14.0;26.0;-12.0;14.0
559;14.863333333333333;14.0;23.0;-9.0;14.0
569;14.893333333333333;14.0;25.0;-11.0;14.0
579;15.186666666666667;14.0;25.0;-11.0;14.0
589;14.716666666666667;14.0;24.0;-10.0;14.0
599;14.82;14.0;30.0;-16.0;14.0
609;15.0;14.0;26.0;-12.0;14.0
619;15.18;14.0;26.0;-12.0;14.0
629;14.843333333333334;14.0;22.0;-8.0;14.0
639;14.973333333333333;14.0;24.0;-10.0;14.0
649;14.943333333333333;14.0;24.0;-10.0;14.0
659;14.906666666666666;14.0;22.0;-8.0;14.0
669;14.88;14.0;25.0;-11.0;14.0
679;14.973333333333333;14.0;23.0;-9.0;14.0
689;15.11;14.0;24.0;-10.0;14.0
699;14.81;14.0;20.0;-6.0;14.0
709;14.936666666666667;14.0;25.0;-11.0;14.0
719;15.04;14.0;25.0;-11.0;14.0
729;14.836666666666666;14.0;25.0;-11.0;14.0
739;14.846666666666666;14.0;25.0;-11.0;14.0
749;14.83;14.0;23.0;-9.0;14.0
759;14.836666666666666;14.0;25.0;-11.0;14.0
769;15.07;14.0;26.0;-12.0;14.0
779;15.006666666666666;14.0;25.0;-11.0;14.0
789;14.956666666666667;14.0;25.0;-11.0;14.0
799;14.92;14.0;26.0;-12.0;14.0
809;14.86;14.0;23.0;-9.0;14.0
819;15.18;14.0;24.0;-10.0;14.0
829;14.96;14.0;25.0;-11.0;14.0
839;14.993333333333334;14.0;24.0;-10.0;14.0
849;14.846666666666666;14.0;22.0;-8.0;14.0
859;14.98;14.0;26.0;-12.0;14.0
869;14.92;14.0;24.0;-10.0;14.0
879;15.07;14.0;28.0;-14.0;14.0
889;14.98;14.0;22.0;-8.0;14.0
899;14.856666666666667;14.0;24.0;-10.0;14.0
909;15.12;14.0;25.0;-11.0;14.0
919;15.126666666666667;14.0;28.0;-14.0;14.0
