geracao;media da geracao;fitness do melhor da geracao;fitness do pior da geracao;relacao entre melhor e pior;fitness do melhor da run
Probabilidade Recombinação: 0.7
Probabilidade Mutação: 0.049999999999999996
Tipo de Selecção: Torneio
Tipo de Mutação: Simples
Tamanho População: 300
Máximo de Gerações: 15000
0;84.60333333333334;69.0;101.0;-32.0;69.0
0;78.61666666666666;64.0;92.0;-28.0;64.0
9;51.56666666666667;40.0;66.0;-26.0;40.0
19;38.03333333333333;28.0;51.0;-23.0;28.0
29;35.52;26.0;52.0;-26.0;26.0
39;34.67666666666667;23.0;50.0;-27.0;23.0
49;32.86333333333334;22.0;47.0;-25.0;22.0
59;33.806666666666665;22.0;48.0;-26.0;21.0
69;30.576666666666668;20.0;47.0;-27.0;18.0
79;29.716666666666665;18.0;44.0;-26.0;18.0
89;28.656666666666666;17.0;41.0;-24.0;17.0
99;28.95;19.0;43.0;-24.0;16.0
109;28.023333333333333;17.0;44.0;-27.0;16.0
119;28.063333333333333;15.0;44.0;-29.0;15.0
129;28.11;17.0;44.0;-27.0;15.0
139;26.763333333333332;14.0;40.0;-26.0;14.0
149;24.9;16.0;35.0;-19.0;13.0
159;25.13;15.0;38.0;-23.0;12.0
169;25.766666666666666;16.0;39.0;-23.0;12.0
179;25.673333333333332;15.0;41.0;-26.0;12.0
189;23.80666666666667;12.0;41.0;-29.0;12.0
199;24.293333333333333;13.0;37.0;-24.0;11.0
209;24.81;14.0;44.0;-30.0;11.0
219;24.746666666666666;13.0;44.0;-31.0;11.0
229;24.38;12.0;43.0;-31.0;11.0
239;22.59;12.0;42.0;-30.0;10.0
249;21.983333333333334;10.0;46.0;-36.0;8.0
259;21.30666666666667;10.0;36.0;-26.0;8.0
269;22.09;8.0;41.0;-33.0;8.0
279;21.376666666666665;8.0;36.0;-28.0;8.0
289;22.446666666666665;8.0;36.0;-28.0;8.0
299;22.52;10.0;35.0;-25.0;8.0
309;22.166666666666668;8.0;40.0;-32.0;8.0
319;22.08;10.0;40.0;-30.0;8.0
329;21.73;11.0;37.0;-26.0;8.0
339;22.03;11.0;38.0;-27.0;8.0
349;22.386666666666667;10.0;36.0;-26.0;8.0
359;23.323333333333334;12.0;40.0;-28.0;8.0
369;23.386666666666667;8.0;38.0;-30.0;8.0
379;21.30666666666667;9.0;32.0;-23.0;8.0
389;20.446666666666665;10.0;33.0;-23.0;8.0
399;22.086666666666666;11.0;41.0;-30.0;8.0
409;21.57;8.0;37.0;-29.0;8.0
419;22.796666666666667;10.0;42.0;-32.0;8.0
429;23.60333333333333;12.0;40.0;-28.0;8.0
439;23.173333333333332;8.0;38.0;-30.0;8.0
449;23.423333333333332;9.0;41.0;-32.0;8.0
459;22.206666666666667;9.0;44.0;-35.0;8.0
469;22.30666666666667;10.0;37.0;-27.0;8.0
479;23.05666666666667;8.0;38.0;-30.0;8.0
489;22.956666666666667;10.0;37.0;-27.0;8.0
499;22.546666666666667;10.0;38.0;-28.0;8.0
509;23.066666666666666;11.0;39.0;-28.0;8.0
519;23.136666666666667;12.0;42.0;-30.0;8.0
529;21.11;9.0;35.0;-26.0;8.0
539;22.82;10.0;38.0;-28.0;8.0
549;21.083333333333332;10.0;37.0;-27.0;8.0
559;21.746666666666666;8.0;42.0;-34.0;8.0
569;21.87;8.0;42.0;-34.0;8.0
579;22.56;10.0;37.0;-27.0;8.0
589;23.333333333333332;11.0;38.0;-27.0;8.0
599;22.256666666666668;10.0;41.0;-31.0;8.0
609;21.846666666666668;8.0;35.0;-27.0;8.0
619;21.31;7.0;37.0;-30.0;7.0
629;21.33;10.0;36.0;-26.0;7.0
639;21.376666666666665;9.0;35.0;-26.0;7.0
649;23.343333333333334;10.0;37.0;-27.0;7.0
659;19.05666666666667;6.0;45.0;-39.0;5.0
669;19.023333333333333;8.0;32.0;-24.0;5.0
679;20.24;11.0;36.0;-25.0;5.0
689;20.35333333333333;8.0;35.0;-27.0;5.0
699;20.283333333333335;8.0;34.0;-26.0;5.0
709;20.393333333333334;9.0;38.0;-29.0;5.0
719;19.60333333333333;5.0;33.0;-28.0;5.0
729;19.173333333333332;8.0;39.0;-31.0;5.0
739;20.483333333333334;8.0;38.0;-30.0;5.0
749;19.32;8.0;34.0;-26.0;5.0
759;21.2;7.0;38.0;-31.0;5.0
769;17.973333333333333;5.0;34.0;-29.0;5.0
779;17.59;5.0;39.0;-34.0;5.0
789;19.883333333333333;5.0;39.0;-34.0;5.0
799;20.253333333333334;5.0;37.0;-32.0;5.0
809;19.6;6.0;36.0;-30.0;5.0
819;19.066666666666666;8.0;33.0;-25.0;5.0
829;20.31;6.0;38.0;-32.0;5.0
839;19.266666666666666;8.0;37.0;-29.0;5.0
849;20.47;9.0;37.0;-28.0;5.0
859;19.923333333333332;7.0;37.0;-30.0;5.0
869;19.83;7.0;37.0;-30.0;5.0
879;19.123333333333335;8.0;40.0;-32.0;5.0
889;20.94;6.0;35.0;-29.0;5.0
899;21.166666666666668;8.0;38.0;-30.0;5.0
