geracao;media da geracao;fitness do melhor da geracao;fitness do pior da geracao;relacao entre melhor e pior;fitness do melhor da run
Probabilidade Recombinação: 0.7
Probabilidade Mutação: 0.049999999999999996
Tipo de Selecção: Torneio
Tipo de Mutação: Troca de Genes
Tamanho População: 300
Máximo de Gerações: 15000
0;84.60333333333334;69.0;101.0;-32.0;69.0
0;78.14666666666666;61.0;93.0;-32.0;61.0
9;44.77333333333333;39.0;52.0;-13.0;39.0
19;30.80666666666667;30.0;38.0;-8.0;30.0
29;24.836666666666666;24.0;34.0;-10.0;24.0
39;21.976666666666667;20.0;29.0;-9.0;20.0
49;20.906666666666666;20.0;32.0;-12.0;20.0
59;19.906666666666666;18.0;30.0;-12.0;18.0
69;16.87;13.0;27.0;-14.0;13.0
79;14.263333333333334;13.0;25.0;-12.0;13.0
89;12.243333333333334;11.0;22.0;-11.0;11.0
99;12.18;11.0;23.0;-12.0;11.0
109;12.06;11.0;24.0;-13.0;11.0
119;12.116666666666667;10.0;23.0;-13.0;10.0
129;10.933333333333334;10.0;27.0;-17.0;10.0
139;11.013333333333334;10.0;22.0;-12.0;10.0
149;10.13;7.0;21.0;-14.0;7.0
159;7.996666666666667;6.0;17.0;-11.0;6.0
169;7.096666666666667;6.0;22.0;-16.0;6.0
179;7.013333333333334;6.0;18.0;-12.0;6.0
189;7.02;6.0;17.0;-11.0;6.0
199;7.12;6.0;19.0;-13.0;6.0
209;7.1466666666666665;6.0;23.0;-17.0;6.0
219;6.926666666666667;6.0;18.0;-12.0;6.0
229;7.073333333333333;6.0;16.0;-10.0;6.0
239;7.136666666666667;6.0;26.0;-20.0;6.0
249;7.0;6.0;17.0;-11.0;6.0
259;7.2;6.0;18.0;-12.0;6.0
269;7.136666666666667;6.0;18.0;-12.0;6.0
279;6.6866666666666665;5.0;17.0;-12.0;5.0
289;6.1866666666666665;5.0;16.0;-11.0;5.0
299;6.08;5.0;17.0;-12.0;5.0
309;5.796666666666667;5.0;17.0;-12.0;5.0
319;6.13;5.0;16.0;-11.0;5.0
329;6.133333333333334;5.0;17.0;-12.0;5.0
339;6.1466666666666665;5.0;17.0;-12.0;5.0
349;5.89;5.0;15.0;-10.0;5.0
359;6.023333333333333;5.0;17.0;-12.0;5.0
369;6.073333333333333;5.0;16.0;-11.0;5.0
379;6.023333333333333;5.0;16.0;-11.0;5.0
389;6.16;5.0;19.0;-14.0;5.0
399;5.906666666666666;5.0;15.0;-10.0;5.0
409;5.946666666666666;5.0;21.0;-16.0;5.0
419;5.993333333333333;5.0;17.0;-12.0;5.0
429;6.083333333333333;5.0;22.0;-17.0;5.0
439;6.156666666666666;5.0;17.0;-12.0;5.0
449;6.213333333333333;5.0;16.0;-11.0;5.0
459;6.03;5.0;12.0;-7.0;5.0
469;6.226666666666667;5.0;16.0;-11.0;5.0
479;6.133333333333334;5.0;17.0;-12.0;5.0
489;5.93;5.0;17.0;-12.0;5.0
499;5.933333333333334;5.0;15.0;-10.0;5.0
509;6.263333333333334;5.0;21.0;-16.0;5.0
519;6.32;5.0;21.0;-16.0;5.0
529;6.116666666666666;5.0;23.0;-18.0;5.0
539;6.236666666666666;5.0;17.0;-12.0;5.0
549;6.02;5.0;17.0;-12.0;5.0
559;6.283333333333333;5.0;20.0;-15.0;5.0
569;5.89;5.0;20.0;-15.0;5.0
579;6.023333333333333;5.0;17.0;-12.0;5.0
589;6.073333333333333;5.0;17.0;-12.0;5.0
599;6.276666666666666;5.0;16.0;-11.0;5.0
609;6.04;5.0;17.0;-12.0;5.0
619;6.0633333333333335;5.0;17.0;-12.0;5.0
629;6.19;5.0;17.0;-12.0;5.0
639;6.07;5.0;17.0;-12.0;5.0
649;6.3;5.0;17.0;-12.0;5.0
659;6.13;5.0;17.0;-12.0;5.0
669;6.18;5.0;17.0;-12.0;5.0
679;6.073333333333333;5.0;17.0;-12.0;5.0
689;6.09;5.0;21.0;-16.0;5.0
699;6.156666666666666;5.0;17.0;-12.0;5.0
709;5.82;5.0;17.0;-12.0;5.0
719;6.116666666666666;5.0;21.0;-16.0;5.0
729;6.0;5.0;16.0;-11.0;5.0
739;6.083333333333333;5.0;17.0;-12.0;5.0
749;6.133333333333334;5.0;17.0;-12.0;5.0
759;6.13;5.0;17.0;-12.0;5.0
769;6.163333333333333;5.0;16.0;-11.0;5.0
779;6.216666666666667;5.0;17.0;-12.0;5.0
789;6.2;5.0;17.0;-12.0;5.0
799;6.183333333333334;5.0;17.0;-12.0;5.0
809;6.236666666666666;5.0;17.0;-12.0;5.0
819;5.993333333333333;5.0;17.0;-12.0;5.0
829;6.0633333333333335;5.0;17.0;-12.0;5.0
839;6.13;5.0;17.0;-12.0;5.0
849;6.126666666666667;5.0;17.0;-12.0;5.0
859;6.193333333333333;5.0;17.0;-12.0;5.0
869;6.13;5.0;18.0;-13.0;5.0
879;6.166666666666667;5.0;17.0;-12.0;5.0
889;6.27;5.0;22.0;-17.0;5.0
899;6.023333333333333;5.0;17.0;-12.0;5.0
