geracao;media da geracao;fitness do melhor da geracao;fitness do pior da geracao;relacao entre melhor e pior;fitness do melhor da run
Probabilidade Recombinação: 0.7
Probabilidade Mutação: 0.05
Tipo de Selecção: Torneio
Tipo de Mutação: Simples
Tamanho População: 300
Máximo de Gerações: 5000000
0;76.64;63.0;96.0;-33.0;63.0
0;69.67333333333333;59.0;80.0;-21.0;59.0
9;46.86333333333334;40.0;56.0;-16.0;40.0
19;35.88333333333333;30.0;45.0;-15.0;29.0
29;31.2;24.0;42.0;-18.0;24.0
39;30.323333333333334;24.0;41.0;-17.0;23.0
49;27.526666666666667;21.0;40.0;-19.0;20.0
59;26.076666666666668;19.0;38.0;-19.0;19.0
69;25.656666666666666;17.0;36.0;-19.0;17.0
79;23.033333333333335;15.0;35.0;-20.0;15.0
89;22.3;15.0;35.0;-20.0;15.0
99;21.673333333333332;14.0;33.0;-19.0;14.0
109;20.613333333333333;14.0;33.0;-19.0;13.0
119;21.19;14.0;39.0;-25.0;13.0
129;20.256666666666668;12.0;30.0;-18.0;12.0
139;19.58;12.0;33.0;-21.0;12.0
149;18.913333333333334;12.0;31.0;-19.0;12.0
159;19.663333333333334;12.0;31.0;-19.0;12.0
169;19.583333333333332;12.0;33.0;-21.0;12.0
179;19.366666666666667;12.0;32.0;-20.0;12.0
189;19.45;12.0;33.0;-21.0;12.0
199;19.926666666666666;12.0;35.0;-23.0;12.0
209;19.196666666666665;12.0;32.0;-20.0;12.0
219;19.08;12.0;31.0;-19.0;12.0
229;19.123333333333335;12.0;31.0;-19.0;12.0
239;19.566666666666666;12.0;32.0;-20.0;12.0
249;20.14666666666667;12.0;33.0;-21.0;12.0
259;19.063333333333333;12.0;33.0;-21.0;12.0
269;19.73;12.0;35.0;-23.0;12.0
279;19.016666666666666;12.0;31.0;-19.0;12.0
289;19.03;12.0;31.0;-19.0;12.0
299;19.276666666666667;12.0;31.0;-19.0;12.0
309;19.416666666666668;12.0;32.0;-20.0;12.0
319;19.02;12.0;30.0;-18.0;11.0
329;18.86;10.0;33.0;-23.0;10.0
339;17.553333333333335;9.0;32.0;-23.0;9.0
349;17.013333333333332;9.0;31.0;-22.0;9.0
359;17.313333333333333;9.0;30.0;-21.0;8.0
369;16.54;9.0;29.0;-20.0;8.0
379;16.34;8.0;31.0;-23.0;8.0
389;16.10333333333333;7.0;27.0;-20.0;7.0
399;15.626666666666667;7.0;28.0;-21.0;7.0
409;15.046666666666667;7.0;29.0;-22.0;7.0
419;15.256666666666666;7.0;32.0;-25.0;7.0
429;14.863333333333333;7.0;30.0;-23.0;7.0
439;15.236666666666666;7.0;31.0;-24.0;7.0
449;15.496666666666666;7.0;31.0;-24.0;7.0
459;15.373333333333333;7.0;28.0;-21.0;7.0
469;15.616666666666667;7.0;29.0;-22.0;7.0
479;14.576666666666666;7.0;28.0;-21.0;7.0
489;14.91;7.0;29.0;-22.0;7.0
499;14.81;7.0;28.0;-21.0;7.0
509;14.796666666666667;7.0;27.0;-20.0;7.0
519;15.913333333333334;7.0;29.0;-22.0;7.0
529;15.046666666666667;7.0;27.0;-20.0;7.0
539;15.3;7.0;30.0;-23.0;7.0
549;14.796666666666667;7.0;31.0;-24.0;7.0
559;14.973333333333333;7.0;26.0;-19.0;7.0
569;15.073333333333334;7.0;27.0;-20.0;7.0
579;15.11;7.0;29.0;-22.0;7.0
589;15.013333333333334;7.0;30.0;-23.0;7.0
599;15.976666666666667;7.0;30.0;-23.0;7.0
609;15.443333333333333;7.0;30.0;-23.0;7.0
619;14.576666666666666;7.0;30.0;-23.0;7.0
629;16.41;7.0;31.0;-24.0;7.0
639;15.15;7.0;31.0;-24.0;7.0
649;15.116666666666667;7.0;30.0;-23.0;7.0
659;15.903333333333334;7.0;29.0;-22.0;7.0
669;15.076666666666666;7.0;29.0;-22.0;7.0
679;15.023333333333333;7.0;32.0;-25.0;7.0
689;15.176666666666666;7.0;29.0;-22.0;7.0
699;15.733333333333333;7.0;29.0;-22.0;7.0
709;15.036666666666667;7.0;31.0;-24.0;7.0
719;14.683333333333334;7.0;28.0;-21.0;7.0
729;15.083333333333334;7.0;30.0;-23.0;7.0
739;14.903333333333334;7.0;28.0;-21.0;7.0
749;15.073333333333334;7.0;34.0;-27.0;7.0
759;15.566666666666666;7.0;28.0;-21.0;7.0
769;14.943333333333333;7.0;29.0;-22.0;7.0
779;15.1;7.0;30.0;-23.0;7.0
789;14.626666666666667;7.0;29.0;-22.0;7.0
799;15.596666666666666;7.0;29.0;-22.0;7.0
809;15.603333333333333;7.0;33.0;-26.0;7.0
819;15.026666666666667;7.0;26.0;-19.0;7.0
829;15.18;7.0;30.0;-23.0;7.0
839;14.583333333333334;7.0;29.0;-22.0;7.0
849;14.703333333333333;7.0;31.0;-24.0;7.0
859;15.413333333333334;7.0;32.0;-25.0;7.0
869;14.353333333333333;7.0;27.0;-20.0;7.0
879;14.856666666666667;7.0;29.0;-22.0;7.0
889;15.563333333333333;7.0;33.0;-26.0;7.0
899;15.326666666666666;7.0;28.0;-21.0;7.0
909;14.813333333333333;7.0;28.0;-21.0;7.0
919;14.813333333333333;7.0;26.0;-19.0;7.0
929;15.226666666666667;7.0;28.0;-21.0;7.0
939;15.006666666666666;7.0;28.0;-21.0;7.0
949;14.793333333333333;7.0;25.0;-18.0;7.0
959;14.73;7.0;30.0;-23.0;7.0
969;14.463333333333333;7.0;26.0;-19.0;7.0
979;15.973333333333333;7.0;30.0;-23.0;7.0
989;16.0;8.0;27.0;-19.0;7.0
999;14.95;7.0;30.0;-23.0;7.0
1009;15.176666666666666;7.0;27.0;-20.0;7.0
1019;15.443333333333333;7.0;30.0;-23.0;7.0
1029;14.496666666666666;7.0;27.0;-20.0;7.0
1039;14.496666666666666;7.0;29.0;-22.0;7.0
1049;15.24;7.0;26.0;-19.0;7.0
1059;14.413333333333334;7.0;27.0;-20.0;7.0
1069;14.54;7.0;30.0;-23.0;7.0
1079;14.736666666666666;7.0;32.0;-25.0;7.0
1089;15.29;7.0;28.0;-21.0;7.0
1099;14.916666666666666;7.0;32.0;-25.0;7.0
1109;15.366666666666667;7.0;28.0;-21.0;7.0
1119;15.146666666666667;7.0;30.0;-23.0;7.0
1129;14.84;7.0;29.0;-22.0;7.0
1139;15.533333333333333;7.0;27.0;-20.0;7.0
1149;15.526666666666667;7.0;30.0;-23.0;7.0
1159;14.966666666666667;7.0;30.0;-23.0;7.0
1169;14.68;7.0;30.0;-23.0;7.0
1179;15.113333333333333;7.0;27.0;-20.0;7.0
1189;15.47;7.0;29.0;-22.0;7.0
1199;15.053333333333333;7.0;27.0;-20.0;7.0
1209;15.19;7.0;31.0;-24.0;7.0
1219;14.85;7.0;28.0;-21.0;7.0
1229;15.09;7.0;32.0;-25.0;7.0
1239;15.443333333333333;7.0;31.0;-24.0;7.0
1249;14.976666666666667;7.0;27.0;-20.0;7.0
1259;15.23;7.0;31.0;-24.0;7.0
1269;14.73;7.0;27.0;-20.0;7.0
1279;15.01;7.0;29.0;-22.0;7.0
1289;15.246666666666666;7.0;30.0;-23.0;7.0
1299;14.89;7.0;29.0;-22.0;7.0
1309;14.796666666666667;7.0;26.0;-19.0;7.0
1319;15.47;7.0;27.0;-20.0;7.0
1329;15.113333333333333;7.0;28.0;-21.0;7.0
1339;15.106666666666667;7.0;27.0;-20.0;7.0
1349;15.016666666666667;7.0;26.0;-19.0;7.0
1359;15.403333333333334;7.0;32.0;-25.0;7.0
1369;14.996666666666666;7.0;29.0;-22.0;7.0
1379;15.256666666666666;7.0;26.0;-19.0;7.0
1389;15.32;7.0;31.0;-24.0;7.0
1399;15.416666666666666;7.0;30.0;-23.0;7.0
1409;15.166666666666666;7.0;30.0;-23.0;7.0
1419;14.336666666666666;7.0;29.0;-22.0;7.0
1429;14.58;7.0;27.0;-20.0;7.0
1439;14.903333333333334;7.0;30.0;-23.0;7.0
1449;15.84;7.0;31.0;-24.0;7.0
1459;15.89;7.0;31.0;-24.0;7.0
1469;14.593333333333334;7.0;31.0;-24.0;7.0
1479;14.62;7.0;29.0;-22.0;7.0
1489;14.696666666666667;7.0;28.0;-21.0;7.0
1499;15.383333333333333;7.0;27.0;-20.0;7.0
1509;15.09;7.0;29.0;-22.0;7.0
1519;14.8;7.0;34.0;-27.0;7.0
1529;15.42;7.0;32.0;-25.0;7.0
1539;15.253333333333334;7.0;28.0;-21.0;7.0
1549;15.483333333333333;7.0;32.0;-25.0;7.0
1559;14.9;7.0;27.0;-20.0;7.0
1569;14.663333333333334;7.0;24.0;-17.0;7.0
1579;16.013333333333332;7.0;28.0;-21.0;7.0
1589;15.483333333333333;7.0;27.0;-20.0;7.0
1599;15.013333333333334;7.0;31.0;-24.0;7.0
1609;14.776666666666667;7.0;29.0;-22.0;7.0
1619;15.323333333333334;7.0;34.0;-27.0;7.0
1629;14.836666666666666;7.0;26.0;-19.0;7.0
1639;15.3;7.0;29.0;-22.0;7.0
1649;14.906666666666666;7.0;30.0;-23.0;7.0
1659;14.693333333333333;7.0;27.0;-20.0;7.0
1669;15.73;7.0;29.0;-22.0;7.0
1679;14.94;7.0;30.0;-23.0;7.0
1689;14.713333333333333;7.0;28.0;-21.0;7.0
1699;15.436666666666667;7.0;29.0;-22.0;7.0
1709;16.06;8.0;34.0;-26.0;7.0
1719;15.17;7.0;28.0;-21.0;7.0
1729;14.873333333333333;7.0;30.0;-23.0;7.0
1739;15.246666666666666;7.0;27.0;-20.0;7.0
1749;14.95;7.0;28.0;-21.0;7.0
1759;15.583333333333334;7.0;30.0;-23.0;7.0
1769;14.923333333333334;7.0;31.0;-24.0;7.0
1779;15.24;7.0;34.0;-27.0;7.0
1789;14.59;7.0;27.0;-20.0;7.0
1799;14.396666666666667;7.0;25.0;-18.0;7.0
1809;15.64;7.0;33.0;-26.0;7.0
1819;15.63;7.0;28.0;-21.0;7.0
1829;15.446666666666667;8.0;30.0;-22.0;7.0
1839;15.54;8.0;29.0;-21.0;7.0
1849;15.223333333333333;7.0;31.0;-24.0;7.0
1859;15.003333333333334;7.0;30.0;-23.0;7.0
1869;14.79;7.0;29.0;-22.0;7.0
1879;14.9;7.0;27.0;-20.0;7.0
1889;14.506666666666666;7.0;25.0;-18.0;7.0
1899;15.68;7.0;29.0;-22.0;7.0
1909;15.263333333333334;7.0;26.0;-19.0;7.0
1919;14.876666666666667;7.0;34.0;-27.0;7.0
1929;15.013333333333334;7.0;28.0;-21.0;7.0
1939;14.67;7.0;28.0;-21.0;7.0
1949;14.96;7.0;29.0;-22.0;7.0
1959;14.886666666666667;7.0;28.0;-21.0;7.0
1969;14.876666666666667;7.0;33.0;-26.0;7.0
1979;15.256666666666666;7.0;28.0;-21.0;7.0
1989;14.763333333333334;7.0;28.0;-21.0;7.0
1999;15.446666666666667;7.0;28.0;-21.0;7.0
2009;14.076666666666666;7.0;26.0;-19.0;7.0
